origin_date,target_date,beta1_fcst,beta2_fcst,beta3_fcst
1989-01-31,1990-01-31,0.08920593414975803,-0.009324583061972284,0.0049773078223701635
1989-02-28,1990-02-28,0.09223676008890623,-0.009309001347550508,0.0052987734544013045
1989-03-31,1990-03-31,0.09239468576453458,-0.007528287655144891,0.005428878285654183
1989-04-30,1990-04-30,0.09039071210410884,-0.008495087585842663,0.005045197849961305
1989-05-31,1990-05-31,0.08817533643624517,-0.006782719072111243,0.004547660958835448
1989-06-30,1990-06-30,0.08320115933808217,-0.00658680988740247,0.004222138853418263
1989-07-31,1990-07-31,0.08195249857187267,-0.006859365893733179,0.003477135809384875
1989-08-31,1990-08-31,0.08441033550490909,-0.007602264041238347,0.004388400879517165
1989-09-30,1990-09-30,0.08490953989680748,-0.007392423013848328,0.0044434115032006985
1989-10-31,1990-10-31,0.08190816227829047,-0.007127256260921285,0.004042970312812292
1989-11-30,1990-11-30,0.08148718451679372,-0.007803866437818301,0.003956451581106373
1989-12-31,1990-12-31,0.08211999686279178,-0.008079933711053712,0.004111062998317108
1990-01-31,1991-01-31,0.08589472473940561,-0.010064546153234143,0.00441216413222034
1990-02-28,1991-02-28,0.08648527206737254,-0.010781507101214047,0.004559601001101631
1990-03-31,1991-03-31,0.08742059680023301,-0.010551250397506953,0.004699044591719974
1990-04-30,1991-04-30,0.0900730809207516,-0.012673528930511815,0.005077961597861549
1990-05-31,1991-05-31,0.08672002175498794,-0.011093096417912276,0.0047291343429626
1990-06-30,1991-06-30,0.08534580245408528,-0.010621007976427198,0.004574901834160383
1990-07-31,1991-07-31,0.08497215361199713,-0.011665659681072693,0.0043089092097394945
1990-08-31,1991-08-31,0.08947260291355139,-0.015137856076306896,0.004462396655606583
1990-09-30,1991-09-30,0.0888001814998081,-0.015665440365949353,0.004426092862403839
1990-10-31,1991-10-31,0.08738232064611819,-0.01550046003601701,0.004200101833543547
1990-11-30,1991-11-30,0.08437097958632914,-0.01351205865068753,0.003987919755362028
1990-12-31,1991-12-31,0.08241303882632423,-0.015757893827209803,0.004028574434961166
1991-01-31,1992-01-31,0.08155635205718706,-0.016846836629901954,0.00400666418929931
1991-02-28,1992-02-29,0.0813134522180863,-0.017958119241392363,0.0040852570499634346
1991-03-31,1992-03-31,0.08125624221881193,-0.01932537622536778,0.0042878940580161565
1991-04-30,1992-04-30,0.08027590979085314,-0.020560985625401547,0.004354861739597252
1991-05-31,1992-05-31,0.08102929394431788,-0.02098335761775225,0.00423109458501317
1991-06-30,1992-06-30,0.08227224662929432,-0.022192673505661835,0.004485956907568766
1991-07-31,1992-07-31,0.08160823411909482,-0.02190484461508567,0.004265144936851043
1991-08-31,1992-08-31,0.07916672612573791,-0.021371220106606775,0.003778660969343997
1991-09-30,1992-09-30,0.07720007764258198,-0.020782994675567587,0.0032508918895848633
1991-10-31,1992-10-31,0.07738868753608169,-0.023015879237179276,0.002713806641503848
1991-11-30,1992-11-30,0.07732497326831671,-0.02607595048299353,0.0020520271858580795
1991-12-31,1992-12-31,0.07213311468801763,-0.02559307132544502,0.0011774953772138604
1992-01-31,1993-01-31,0.07471639654460245,-0.02928327077300144,0.00203907009241169
1992-02-29,1993-02-28,0.074979669528631,-0.028936049905437113,0.0019859392988227694
1992-03-31,1993-03-31,0.07629344613203044,-0.029652687826464224,0.0026417582522775406
1992-04-30,1993-04-30,0.07673427541561866,-0.03308438736728154,0.0022007137407332573
1992-05-31,1993-05-31,0.07536804905955088,-0.031456044950311735,0.0013887055843835303
1992-06-30,1993-06-30,0.07550080834674756,-0.03191490483010707,-7.440394172062735e-05
1992-07-31,1993-07-31,0.07208657850078957,-0.03174669661370388,-0.0011924200634765606
1992-08-31,1993-08-31,0.07254882914927631,-0.03303695062891264,-0.002823310626594547
1992-09-30,1993-09-30,0.07196988548268238,-0.035566919960210115,-0.005422634481833626
1992-10-31,1993-10-31,0.07445348338651721,-0.035431767389136226,-0.00383997409109302
1992-11-30,1993-11-30,0.07403830673717339,-0.03361519375638819,-0.0023701119114998255
1992-12-31,1993-12-31,0.07226644448648731,-0.03350094722112505,-0.003011973701371069
1993-01-31,1994-01-31,0.07113721735124856,-0.033003510288849916,-0.00485698278158426
1993-02-28,1994-02-28,0.06900705462563808,-0.030783230291111234,-0.005939109348980224
1993-03-31,1994-03-31,0.06968492018151701,-0.03161691104361394,-0.0069011112555678366
1993-04-30,1994-04-30,0.06989905485851469,-0.03208034910782412,-0.00835830721157954
1993-05-31,1994-05-31,0.0700177417550865,-0.029994690122424592,-0.007218984209628023
1993-06-30,1994-06-30,0.06724114138709995,-0.0272146948661516,-0.007708881541950391
1993-07-31,1994-07-31,0.06571760355440784,-0.026292047320355894,-0.006509743288032022
1993-08-31,1994-08-31,0.0629996070528919,-0.024090320016923926,-0.006854707535414979
1993-09-30,1994-09-30,0.06334184882825948,-0.02435198078236659,-0.007537433450234013
1993-10-31,1994-10-31,0.0630895449487232,-0.023639505390908453,-0.007161365939823007
1993-11-30,1994-11-30,0.06544179276121354,-0.02594686314864051,-0.007220953481843629
1993-12-31,1994-12-31,0.06576204402811506,-0.026399949376013622,-0.007602205164096867
1994-01-31,1995-01-31,0.06430232776351817,-0.025678123115490576,-0.007982175898391284
1994-02-28,1995-02-28,0.06836482197912085,-0.026665404984923122,-0.006908722573870162
1994-03-31,1995-03-31,0.07173230694959007,-0.028362601104725757,-0.005477827362484269
1994-04-30,1995-04-30,0.07335386360899479,-0.027105278822610924,-0.003916258512568525
1994-05-31,1995-05-31,0.07503586603398545,-0.02592475338714768,-0.00365825269919477
1994-06-30,1995-06-30,0.07612385472147778,-0.026865645550835197,-0.003428645363020738
1994-07-31,1995-07-31,0.07410402319754794,-0.024548551523978574,-0.0030861219289374272
1994-08-31,1995-08-31,0.07591275396777569,-0.024168810441575414,-0.003450906541203569
1994-09-30,1995-09-30,0.07900124683509899,-0.025162940162085045,-0.0028211960494990414
1994-10-31,1995-10-31,0.07993217309532043,-0.024289209086511505,-0.0020901258824417525
1994-11-30,1995-11-30,0.08013249762227265,-0.019885939811215916,0.00039115910480772654
1994-12-31,1995-12-31,0.07922297121892921,-0.017273206799610922,0.0018731480734243008
1995-01-31,1996-01-31,0.07826841198562326,-0.016336830001945742,0.0010000160167168122
1995-02-28,1996-02-29,0.07705786263965315,-0.01641381927300163,-0.0005385285239613753
1995-03-31,1996-03-31,0.07686945871657844,-0.016018318181829364,-0.00036329925990714033
1995-04-30,1996-04-30,0.0762961671442071,-0.015837603808213602,-0.0010069858194784653
1995-05-31,1996-05-31,0.07135438335791963,-0.012333727392481985,-0.0017588865999179438
1995-06-30,1996-06-30,0.07058783354891363,-0.012574160947639258,-0.0019144153594808215
1995-07-31,1996-07-31,0.0721018474838167,-0.014841561371100742,-0.0022919062377695005
1995-08-31,1996-08-31,0.07068315739793511,-0.013803448916161155,-0.00204214315337327
1995-09-30,1996-09-30,0.06977645257566659,-0.012535863127492577,-0.0017017753741009416
1995-10-31,1996-10-31,0.06805606492018251,-0.01141415242029485,-0.0017793998074733855
1995-11-30,1996-11-30,0.06670310232278538,-0.010396482700796503,-0.0025305200025533907
1995-12-31,1996-12-31,0.06450611227955852,-0.010866316690876926,-0.002495871602033869
1996-01-31,1997-01-31,0.06502330488877776,-0.01248154067519674,-0.003936830226929424
1996-02-29,1997-02-28,0.06911429605696968,-0.01588706555683602,-0.003987172248038833
1996-03-31,1997-03-31,0.0710454432914162,-0.01632834510549749,-0.0032664058530848424
1996-04-30,1997-04-30,0.07232391932782821,-0.017688132697940513,-0.002611389016543808
1996-05-31,1997-05-31,0.07288436295413327,-0.017885086115761863,-0.0018906927961889208
