Time,xr_2,xr_3,xr_4,xr_5,xr_6,xr_7,xr_8,xr_9,xr_10,12 m,24 m,36 m,48 m,60 m,72 m,84 m,96 m,108 m,120 m,fwd_2,fwd_3,fwd_4,fwd_5,fwd_6,fwd_7,fwd_8,fwd_9,fwd_10,F1,F2,F3,F4,F5,F6,F7,F8,F1^3,slope,level,curvature,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,CP,IV_5,IV_10,IV_30,RV_5,RV_10,RV_20
197206,-1.724960687,-1.953154651,-2.41908952,-2.607521877,-2.877721585,-3.363674902,-4.086799444,-4.926688056,-5.855010238,5.040714997,5.424305031,5.683359328,5.814039968,5.922424127,5.974375143,6.005007764,6.016029631,6.013662964,5.997786658,5.807895064,6.201467924,6.206081888,6.35596076,6.234130223,6.18880349,6.093182702,5.994729626,5.854899901,-0.350657157,-0.216901554,-0.086582616,-0.190565876,-0.251083682,0.139998658,0.041208042,-0.103328432,-0.043116959,0.573481627,5.781505272,-0.211378283,0.383590034,0.642644331,0.773324971,0.88170913,0.933660146,0.964292767,0.975314634,0.972947967,0.95707166,0.618998803,,,,,,
197207,-2.839989339,-3.699592817,-4.813878224,-6.09093728,-6.959583061,-7.309607186,-7.360792127,-7.409759964,-7.459384248,4.717001492,5.205220535,5.64336733,5.819265009,5.911950116,5.975985302,6.036485301,6.088149633,6.130504707,6.159838767,5.693439579,6.519660918,6.346958046,6.282690546,6.29616123,6.399485296,6.449799954,6.469345298,6.423845314,-0.093739063,-0.058148067,-0.166108363,-0.127140185,-0.272606464,0.239345808,-0.154886665,0.071213504,-0.000823686,0.954618232,5.75900314,-0.229420465,0.488219043,0.926365837,1.102263516,1.194948624,1.258983809,1.319483809,1.37114814,1.413503214,1.442837275,2.20140067,,,,,,
197208,-2.318541143,-2.845781905,-2.844750155,-3.133579741,-3.433387303,-3.638200492,-4.110608704,-4.558292318,-4.548818903,5.261999468,5.604922068,5.892473567,6.047935162,6.12942903,6.188595541,6.246441477,6.27367659,6.290679213,6.327261249,5.947844668,6.467576564,6.514319948,6.455404499,6.4844281,6.593517093,6.464322378,6.4267002,6.656499572,-0.760761848,-0.113134007,0.044033001,-0.292104014,0.016337382,0.077617326,0.023157034,0.065847454,-0.440297454,0.722339181,6.020537449,-0.163337371,0.3429226,0.630474098,0.785935694,0.867429561,0.926596073,0.984442009,1.011677121,1.028679745,1.065261781,1.949679276,,,,,,
197209,-1.378732637,-1.305707617,-1.196243089,-1.408526555,-1.408837099,-1.349842964,-1.341684467,-1.226688523,-1.044086146,5.487653881,5.763759997,5.9237166,6.024133521,6.087022617,6.167109081,6.250956202,6.3293555,6.4001485,6.459722625,6.039866112,6.243629806,6.325384286,6.338579001,6.567541396,6.754038931,6.878150583,6.966492504,6.995889746,-0.581834403,0.008719291,-0.203282765,0.007416843,-0.253999261,0.215701085,-0.08451854,0.170818643,-0.196969141,0.695962628,6.103501746,0.024718693,0.276106115,0.436062718,0.53647964,0.599368736,0.679455199,0.763302321,0.841701618,0.912494619,0.972068743,1.398106308,,,,,,
197210,-1.033622151,-0.928208133,-1.080502112,-1.421699534,-1.620466507,-1.698581408,-1.664189035,-1.45047518,-1.16846223,5.357544438,5.734925079,5.928864051,6.06089042,6.106205611,6.155232632,6.20671936,6.249089003,6.289299356,6.330015228,6.11230572,6.316741996,6.456969526,6.287466378,6.400367733,6.515639731,6.545676502,6.610982183,6.69645808,-0.751586594,-0.365760734,0.162031094,-0.263929986,-0.032619817,0.06594272,-0.09991956,-0.032567264,-0.424558045,0.59509015,6.057048639,-0.073735458,0.377380641,0.571319613,0.703345982,0.748661174,0.797688194,0.849174922,0.891544565,0.931754918,0.972470791,2.255088515,,,,,,
197211,-1.559407389,-1.11768662,-1.257408942,-1.637052131,-2.152436168,-2.632588716,-2.64591005,-2.348163451,-2.107437152,5.277032713,5.599322113,5.853695815,5.966374768,6.007241201,6.042126427,6.086620729,6.132091391,6.180013771,6.227117188,5.921611512,6.36244322,6.304411627,6.170706931,6.216552557,6.353586544,6.450386026,6.563392807,6.651047942,-0.756768838,0.084336441,-0.14206703,-0.259591407,-0.219793053,-0.071148526,0.102667289,-0.027901734,-0.433400814,0.627795075,5.944560167,-0.09402155,0.322289399,0.576663102,0.689342055,0.730208487,0.765093713,0.809588016,0.855058678,0.902981058,0.950084475,1.692724047,,,,,,
197212,-1.02190991,-0.942995746,-1.16623078,-1.554203529,-1.899941072,-2.18544672,-2.39116854,-2.517648822,-2.736965489,5.503979835,5.836805649,6.012437578,6.074340051,6.109830438,6.150081336,6.183227146,6.206205953,6.235647963,6.275243042,6.169631463,6.363701436,6.260047468,6.251791986,6.35133583,6.382102003,6.367057601,6.471184042,6.631598759,-0.784469517,-0.170759333,-0.065421639,-0.18165202,-0.167937179,-2.55E-05,0.015198293,0.103601488,-0.482756596,0.438437393,6.07395971,-0.053806092,0.332825814,0.508457743,0.570360215,0.605850602,0.646101501,0.679247311,0.702226117,0.731668127,0.771263207,1.232500732,,,,,,
197301,-0.609816664,-0.447350916,-0.725580792,-1.29343495,-2.040029341,-2.813003216,-3.257654578,-3.441616455,-3.648126032,5.984197673,6.204131559,6.297506541,6.338495499,6.32561267,6.30714401,6.300883029,6.316710919,6.349099418,6.390837332,6.424065445,6.484256506,6.461462372,6.274081354,6.214800708,6.263317144,6.427506148,6.608207415,6.766478556,-0.737292875,-0.236578387,-0.239888763,-0.050693363,-0.311025025,-0.060120322,-0.002318602,0.1494969,-0.400792984,0.186705773,6.30686052,-0.028128224,0.219933886,0.313308868,0.354297826,0.341414997,0.322946336,0.316685356,0.332513246,0.364901745,0.406639659,0.984886047,,,,,,
197302,-0.232283806,-0.051076736,-0.067046536,-0.397677047,-0.88081052,-1.428928675,-2.074273892,-2.792937814,-3.50085915,6.23520084,6.525592438,6.587459898,6.628968179,6.59356031,6.565773605,6.540342819,6.491457281,6.434773992,6.40657441,6.815984037,6.711194817,6.753493023,6.451928831,6.426840084,6.387758104,6.149258509,5.981307686,6.152778168,-0.921817372,-0.106854019,-0.431961831,-0.082981556,-0.040142616,-0.143539432,-0.173822171,0.226674292,-0.783311792,-0.119018029,6.508575719,-0.127476885,0.290391599,0.352259058,0.393767339,0.35835947,0.330572765,0.305141979,0.256256441,0.199573152,0.17137357,1.067423079,,,,,,
197303,-1.373072709,-2.045121375,-2.803214116,-3.689661803,-4.509410516,-5.233834636,-5.516850605,-5.658636354,-5.774724902,6.837929876,6.809134712,6.723762325,6.702829828,6.650516094,6.633582486,6.621188599,6.582065413,6.530082355,6.490282454,6.780339547,6.553017552,6.640032336,6.441261159,6.548914447,6.546825278,6.308203106,6.114217893,6.132083344,-0.555354002,-0.181739629,-0.543762569,0.02122163,-0.211538754,-0.084130625,-0.03027927,0.317836293,-0.171281208,-0.318852258,6.649977753,-0.000807511,-0.028795164,-0.114167551,-0.135100048,-0.187413782,-0.20434739,-0.216741277,-0.255864463,-0.307847521,-0.347647422,-0.696999164,,,,,,
197304,-2.083826805,-3.143250622,-4.405486048,-5.757684556,-6.911597688,-7.638490148,-7.886509099,-8.060332037,-8.223950801,6.614707857,6.636826247,6.639827016,6.6205907,6.581811117,6.594537818,6.619704324,6.60785059,6.582197125,6.566784675,6.658944637,6.645828555,6.562881753,6.426692783,6.658171323,6.770703357,6.524874458,6.376969405,6.428072626,-0.23530447,-0.564948426,-0.272307111,-0.034652101,-0.201106815,-0.166524857,-0.010812881,0.123223673,-0.013028383,-0.070041571,6.59514068,0.019994344,0.02211839,0.02511916,0.005882844,-0.03289674,-0.020170039,0.004996467,-0.006857266,-0.032510731,-0.047923181,-0.386288458,,,,,,
197305,-1.771485358,-3.008110444,-4.173954618,-5.336332302,-6.192813228,-6.487695048,-6.42239858,-6.209606333,-5.939357068,6.942670929,6.770723965,6.647505173,6.612839414,6.608802876,6.658808006,6.724048521,6.753485154,6.760687043,6.74983579,6.598777001,6.401067588,6.508842137,6.592656722,6.90883366,7.115491606,6.959541588,6.818302154,6.652174509,-0.426375853,-0.363387481,-0.380042932,-0.075308672,0.042282999,-0.097730646,-0.104085585,0.149731961,-0.077513582,-0.020888175,6.709787543,0.151477002,-0.171946964,-0.295165756,-0.329831515,-0.333868054,-0.283862923,-0.218622409,-0.189185775,-0.181983886,-0.19283514,-1.601767693,,,,,,
197306,-2.028186712,-3.259532079,-4.779770043,-6.336312353,-7.571979572,-7.996293234,-7.903973399,-7.594184138,-7.310804619,7.532855751,6.981258819,6.878178132,6.794731878,6.736651489,6.726335708,6.739188785,6.751117467,6.754684646,6.747487731,6.429661888,6.672016757,6.544393117,6.504329931,6.674756807,6.816307244,6.834618238,6.783222083,6.682715492,-0.444247696,-0.363453101,-0.560045181,0.049921676,-0.057966943,-0.115955594,0.043656691,0.180509408,-0.087674955,-0.233771088,6.821799346,0.127721786,-0.551596931,-0.654677619,-0.738123872,-0.796204262,-0.806520042,-0.793666966,-0.781738284,-0.778171104,-0.78536802,-3.174639392,,,,,,
197307,-1.112420599,-1.935470225,-2.645539556,-3.578733614,-4.833169348,-5.855406793,-6.319941968,-6.317590434,-5.88232927,8.533428918,7.956346657,7.791312255,7.733421592,7.619698676,7.474667134,7.335569671,7.233412604,7.148974492,7.078399332,7.379264396,7.461243453,7.559749602,7.164807011,6.749509422,6.500984894,6.518313136,6.473469598,6.443222895,-0.3199288,-0.760371905,-0.367471155,0.120351457,0.334656506,0.149791832,0.297391293,0.388354158,-0.032746132,-0.877947324,7.551481555,-0.102325681,-0.577082261,-0.742116662,-0.800007326,-0.913730242,-1.058761784,-1.197859247,-1.300016314,-1.384454426,-1.455029585,-2.826314063,,,,,,
197308,-2.491455461,-3.994422339,-5.197580497,-6.399270805,-8.039564848,-9.102743919,-9.338858127,-9.49965911,-9.988569102,8.266385811,7.630601568,7.258163778,7.129681355,7.060592217,7.016881894,7.005431708,6.989050721,6.951047992,6.887689599,6.994817326,6.513288198,6.744234086,6.784235662,6.798330282,6.93673059,6.874383814,6.647026157,6.317464065,-0.323241177,0.495844739,-1.430666874,0.394810985,-0.143790184,-0.082719441,-0.146890945,-0.09819259,-0.033773809,-0.74291197,7.192961128,0.198553367,-0.635784242,-1.008222033,-1.136704456,-1.205793594,-1.249503917,-1.260954103,-1.27733509,-1.315337819,-1.378696212,-4.50753189,,,,,,
197309,-1.860057302,-3.458248732,-4.690566761,-5.954650513,-7.094055477,-7.961391227,-8.644433727,-8.994275049,-9.039519267,7.418598749,6.794601768,6.601707764,6.58899644,6.58476754,6.603147083,6.641267798,6.667546393,6.683739835,6.68919672,6.170604787,6.215919757,6.550862468,6.56785194,6.695044796,6.869992086,6.85149656,6.813287369,6.738308685,-0.224766451,-1.125567925,0.160217143,-0.368376207,0.682382099,-0.100987722,0.211804974,0.281266818,-0.011355192,-0.105405048,6.689522009,0.157131704,-0.623996981,-0.816890984,-0.829602308,-0.833831208,-0.815451666,-0.777330951,-0.751052356,-0.734858914,-0.729402029,-2.785305286,,,,,,
197310,-1.589701151,-2.475761842,-3.747788285,-4.978697155,-6.130673588,-6.930013606,-6.981104708,-6.83326207,-6.763664261,7.145927871,6.678627924,6.655506451,6.648795788,6.638863572,6.631345415,6.614193803,6.587078118,6.567896675,6.560613965,6.211327978,6.609263504,6.6286638,6.599134706,6.593754631,6.51128413,6.397268327,6.41444513,6.495069578,-0.403058841,0.039717068,-0.534620166,-0.447496196,0.442463722,-0.56558843,-0.046080771,-0.046384026,-0.0654795,-0.118013959,6.626035154,-0.019242627,-0.467299946,-0.49042142,-0.497132083,-0.507064299,-0.514582456,-0.531734068,-0.558849753,-0.578031196,-0.585313905,-2.181013123,,,,,,
197311,-1.568357925,-2.077036778,-3.013460737,-3.7217079,-4.477721944,-5.133719846,-5.719241774,-6.014604593,-5.537977193,7.4810189,6.700870676,6.615291767,6.599056355,6.625632403,6.660316851,6.632229781,6.586406834,6.566841813,6.577061788,5.920722451,6.444133948,6.55035012,6.731936594,6.833739092,6.46370736,6.265646208,6.410321643,6.669041562,-0.431289025,-0.301702008,-0.679909741,0.207042398,0.336478945,-0.240181839,-0.205453563,-0.139453779,-0.080224168,-0.123808888,6.634521622,0.013333829,-0.780148225,-0.865727134,-0.881962546,-0.855386498,-0.820702049,-0.848789119,-0.894612066,-0.914177087,-0.903957113,-3.14423975,,,,,,
197312,-0.783150333,-1.524853861,-2.006093598,-2.381951727,-2.778008799,-2.981623541,-3.152738051,-2.95808923,-2.032221804,7.191541373,6.738164323,6.653203716,6.64984397,6.659289851,6.660676151,6.648119475,6.641812581,6.665046231,6.718857011,6.284787272,6.483282502,6.639764735,6.697073373,6.667607651,6.572779422,6.597664323,6.850915427,7.203154028,0.084176562,-0.568448941,-0.659353554,0.13689162,0.123172316,-0.495633092,-0.241058382,0.060052191,0.000596449,-0.019307312,6.705437061,0.069220816,-0.45337705,-0.538337657,-0.541697403,-0.532251522,-0.530865222,-0.543421898,-0.549728792,-0.526495142,-0.472684362,-1.552810431,,,,,,
