Time,fwd_1,fwd_2,fwd_3,fwd_4,fwd_5,fwd_6,fwd_7,fwd_8,fwd_9,fwd_10
197108,5.170034648,5.761330064,6.132956222,6.037493869,6.53461578,6.81699139,6.534926873,6.46430578,6.542130698,6.659174029
197109,5.188152033,5.686279707,6.051272867,6.161215025,6.545002559,6.28667417,5.828426365,5.595876083,5.513095906,5.534005278
197110,4.565526443,5.274060946,5.734023095,6.21604376,6.422158134,6.333671669,5.8565805,5.648553938,5.623580344,5.732478238
197111,4.652407839,5.374378844,5.837093438,6.111624645,6.435736238,6.770872915,6.160563068,5.707649562,5.553677168,5.627494663
197112,4.247437755,5.279303485,5.623440746,5.807630836,6.119622155,6.634278255,6.46142924,6.215052043,6.16639307,6.270992861
197201,4.08987093,5.478444394,6.186029768,6.368598616,6.373095127,6.528312079,6.485632625,6.401559392,6.391407789,6.466417849
197202,4.186782106,5.27819264,6.121423071,6.296216106,6.295326169,6.421588078,6.462018469,6.405194037,6.360466135,6.25853922
197203,4.880915013,6.105532447,6.281978087,6.281400674,6.313933105,6.323760168,6.220078767,6.085930363,5.999223677,5.923304007
197204,4.434597293,5.669462992,6.360399465,6.184401739,6.126835539,6.423151895,6.586442243,6.555134151,6.563996841,6.542825745
197205,4.496038783,5.383545086,6.216712043,6.116551661,6.376021506,6.338453938,6.434025009,6.514171422,6.57702808,6.558464322
197206,5.040714997,5.807895064,6.201467924,6.206081888,6.35596076,6.234130223,6.18880349,6.093182702,5.994729626,5.854899901
197207,4.717001492,5.693439579,6.519660918,6.346958046,6.282690546,6.29616123,6.399485296,6.449799954,6.469345298,6.423845314
197208,5.261999468,5.947844668,6.467576564,6.514319948,6.455404499,6.4844281,6.593517093,6.464322378,6.4267002,6.656499572
197209,5.487653881,6.039866112,6.243629806,6.325384286,6.338579001,6.567541396,6.754038931,6.878150583,6.966492504,6.995889746
197210,5.357544438,6.11230572,6.316741996,6.456969526,6.287466378,6.400367733,6.515639731,6.545676502,6.610982183,6.69645808
197211,5.277032713,5.921611512,6.36244322,6.304411627,6.170706931,6.216552557,6.353586544,6.450386026,6.563392807,6.651047942
197212,5.503979835,6.169631463,6.363701436,6.260047468,6.251791986,6.35133583,6.382102003,6.367057601,6.471184042,6.631598759
197301,5.984197673,6.424065445,6.484256506,6.461462372,6.274081354,6.214800708,6.263317144,6.427506148,6.608207415,6.766478556
197302,6.23520084,6.815984037,6.711194817,6.753493023,6.451928831,6.426840084,6.387758104,6.149258509,5.981307686,6.152778168
197303,6.837929876,6.780339547,6.553017552,6.640032336,6.441261159,6.548914447,6.546825278,6.308203106,6.114217893,6.132083344
197304,6.614707857,6.658944637,6.645828555,6.562881753,6.426692783,6.658171323,6.770703357,6.524874458,6.376969405,6.428072626
197305,6.942670929,6.598777001,6.401067588,6.508842137,6.592656722,6.90883366,7.115491606,6.959541588,6.818302154,6.652174509
197306,7.532855751,6.429661888,6.672016757,6.544393117,6.504329931,6.674756807,6.816307244,6.834618238,6.783222083,6.682715492
197307,8.533428918,7.379264396,7.461243453,7.559749602,7.164807011,6.749509422,6.500984894,6.518313136,6.473469598,6.443222895
197308,8.266385811,6.994817326,6.513288198,6.744234086,6.784235662,6.798330282,6.93673059,6.874383814,6.647026157,6.317464065
197309,7.418598749,6.170604787,6.215919757,6.550862468,6.56785194,6.695044796,6.869992086,6.85149656,6.813287369,6.738308685
197310,7.145927871,6.211327978,6.609263504,6.6286638,6.599134706,6.593754631,6.51128413,6.397268327,6.41444513,6.495069578
197311,7.4810189,5.920722451,6.444133948,6.55035012,6.731936594,6.833739092,6.46370736,6.265646208,6.410321643,6.669041562
197312,7.191541373,6.284787272,6.483282502,6.639764735,6.697073373,6.667607651,6.572779422,6.597664323,6.850915427,7.203154028
197401,7.033882109,6.321790758,6.739692249,6.841935511,6.961395098,7.03629102,6.87215751,6.792169293,6.972988132,7.190675224
197402,7.048267843,6.529987747,6.769462824,6.782559342,6.909973556,6.935876259,6.794603726,6.699971609,6.860699503,7.150845807
197403,8.153412256,7.225066219,7.398125077,7.327708845,7.36866316,7.271249399,6.591219074,6.256003642,6.248171892,6.326767245
197404,8.742771441,7.705252372,7.82511718,7.77889129,7.812084456,7.497595817,6.772893409,6.550792343,6.591691391,6.493894795
197405,8.370262358,7.637692675,7.674686311,7.755034406,7.765314587,7.410373426,6.89424512,6.605509907,6.381925243,6.208316435
197406,8.457848599,7.903362125,8.064631081,8.06087224,7.910424027,7.240620906,6.742298403,6.473432822,6.399335973,6.259182233
197407,8.491684995,8.284293078,8.269818933,8.09800107,8.003945155,7.523222339,6.982848311,6.471118064,6.007961731,5.609162568
197408,9.486272787,8.016255076,7.947392243,7.98592597,8.438624325,7.999909661,7.110498021,6.80782714,6.806374057,6.302674372
197409,8.030662089,7.814111187,7.783180497,7.831935692,7.83444976,7.737327836,7.53453906,7.163128691,6.783552902,6.539681967
197410,7.801029129,7.495324195,7.900690243,7.830043576,7.745731065,7.310624148,6.448359429,6.266602492,6.425471769,6.365580319
197411,7.489080376,6.952812801,7.48677408,7.440183757,7.589753136,7.119705263,6.851168136,6.705684462,6.192414163,6.184749654
197412,7.067937605,7.224986029,7.121004472,7.072931503,7.063664722,6.776394164,6.768778833,6.656266606,6.277286602,6.24058442
197501,6.125946015,7.104813967,7.349739494,7.479521214,7.68561418,7.121372004,6.844294551,6.08581714,5.818136513,5.703270068
197502,5.85829364,6.575727738,7.117453752,7.339054743,7.693310306,7.666440627,7.025706237,5.987765755,5.573526398,5.349813657
197503,6.182232207,7.178641251,7.510719377,7.700021533,7.756535276,7.473015615,7.213985368,5.74029878,5.320531878,5.07040061
197504,6.686708144,8.143735434,8.14891398,8.095792358,7.906543414,7.35220183,7.081495943,5.666150791,5.256408048,4.87728561
197505,6.026227044,7.463094591,7.752479296,7.606690939,7.824240347,8.196153001,7.633466892,7.462187116,7.500818445,7.518481244
197506,6.680664201,7.492416194,7.725212949,7.844422698,7.599767134,7.806029471,7.033675081,7.249571304,7.386245356,7.460404441
197507,7.13625294,7.908258065,8.162902281,7.76654942,7.473900964,7.659534269,7.037518265,7.224448827,7.401690138,7.532616527
197508,7.301002534,7.910265811,8.068255212,8.249994946,7.537428585,7.755554361,7.979623272,7.504649662,7.318577892,7.509306724
197509,7.483511113,8.354855746,8.259402509,8.358808348,7.708601278,8.254301511,8.339007316,7.803663047,7.772614428,8.00330052
197510,6.194600226,7.582277308,7.758899892,7.709098882,8.089285416,8.452663017,8.041992622,7.979434328,8.031735698,8.071541801
197511,6.470239447,7.812353566,7.876185684,7.679682129,8.169933131,8.508529621,8.163142168,7.708923791,7.726027343,7.885400901
197512,6.02768985,7.245475525,7.661203354,7.728787709,7.863767279,7.979432968,7.802518889,7.445208767,7.489580542,7.684941946
197601,5.511731838,7.12939273,7.881179205,7.790596091,8.304695688,7.86766213,7.981819178,7.087006651,6.849001011,6.926645716
197602,6.013860998,7.288311514,7.705965859,7.432815756,7.987640727,7.940015459,7.931486888,7.095687755,6.912934789,7.148183551
197603,5.937380303,7.244275739,7.531389492,7.700210608,7.796868654,7.66587565,7.860829463,7.154449237,7.047747503,7.259478169
197604,5.929074052,7.126678545,7.365022057,7.544441277,8.011033841,7.768036792,7.935714659,7.401813916,7.413156446,7.652775312
197605,6.600451172,7.748601903,7.738600445,7.983848084,7.666842608,7.532436764,8.48139646,7.559039781,7.449666895,7.605499495
197606,6.320185303,7.395996872,7.552634775,7.854747841,7.845970741,7.837761615,8.105603607,7.513294511,7.489069102,7.629348529
197607,6.02773057,7.246190387,7.454431414,7.834661842,8.057253878,8.087840982,7.887415847,7.568172809,7.581657229,7.778201118
197608,5.839224638,7.034559442,7.184538988,7.748386468,7.915644415,7.827754478,7.853252798,7.758370735,7.890825125,8.148111326
197609,5.70180178,6.741837006,7.133669307,7.56945591,7.802727855,7.75878626,7.875932791,7.599377496,7.658573294,7.840268948
197610,5.445011975,6.507609112,6.802031601,7.432145015,7.457716245,7.768351187,8.004997402,7.57138776,7.68051256,7.968073568
197611,4.910948991,5.824358877,6.128829015,6.742566428,6.861851744,7.725249607,7.555015064,7.624762296,8.048487262,8.368966991
197612,4.843274291,5.782933594,6.330321273,6.754628617,7.012275055,7.332926095,6.977600315,6.925783575,7.166458013,7.480668792
197701,5.558041489,6.611746546,7.132748393,7.60134428,7.418867395,7.510582025,6.950506383,6.954272755,7.474011136,7.452263626
197702,5.474639187,6.561278761,7.182786937,7.80308714,7.665929059,7.587232765,6.997930446,6.924391663,7.417551692,7.527561815
197703,5.362963012,6.509203411,7.131703216,7.713128131,7.646217213,7.76791714,7.225927124,7.172263577,7.376179052,7.43127528
197704,5.461234674,6.559698986,7.011658434,7.753792241,7.413250919,7.69461713,7.404643296,7.372448119,7.622138542,7.577228903
197705,5.700974185,6.456282133,6.863412618,7.552028044,7.423357048,7.518627092,7.300120805,7.426462553,7.639642075,7.43614948
197706,5.586964106,6.351251168,6.595643154,7.346984454,7.186789011,7.486724209,7.532160337,7.60526922,7.760893434,7.99068626
197707,6.068644229,6.683806728,6.927205729,7.50223918,7.332469485,7.575501109,7.547882776,7.467900098,7.551441495,7.827314294
197708,6.184397607,6.638744251,7.029154291,7.193527577,7.20940979,7.272706922,7.470910582,7.653382726,7.739759769,7.773454324
197709,6.472906934,6.882413578,7.008736377,7.220747832,7.352928797,7.333840581,7.464827146,7.477740205,7.526699495,7.646010748
197710,6.7610196,7.240999346,7.364449983,7.509687314,7.410838758,7.515182431,7.463682753,7.496325666,7.539146912,7.622233295
197711,6.686445945,7.160079545,7.256696612,7.403248103,7.447689098,7.398476728,7.471162083,7.662667919,7.740705766,7.751595071
197712,6.822873395,7.270129043,7.576278147,7.770824462,7.789770446,7.654790854,7.781035385,8.005751928,8.122104235,8.178289728
197801,7.053840237,7.512488564,7.699353079,7.880155914,7.800663432,7.828009063,7.929230171,8.002862863,8.083828828,8.195674302
197802,7.096133445,7.658902215,7.89006255,7.961129525,7.977616278,7.820820299,8.119584669,8.111922644,8.119590326,8.186084948
197803,7.207558509,7.809043994,7.90633947,7.997409706,8.067755824,7.945066742,8.210872328,8.184073973,8.176590151,8.185919995
197804,7.344759556,7.987611216,7.967138412,8.016939283,7.967499835,8.136434308,8.275444627,8.27842292,8.277887091,8.29234813
197805,7.71643676,8.148918175,8.103540449,8.177060673,8.327668185,8.222896128,8.361007874,8.534713645,8.489426951,8.413304231
197806,8.091336033,8.445387434,8.383663698,8.280806467,8.330366675,8.293041521,8.547259777,8.727712326,8.627614977,8.526081159
197807,8.068450451,8.364179904,8.308552699,8.099267305,8.401245402,8.330139275,8.46377848,8.519845184,8.464032291,8.412241326
197808,8.168361145,8.257997202,8.085780156,8.215531327,8.28298888,8.138943801,8.214652203,8.234958537,8.091376691,8.056846335
197809,8.575366163,8.286228616,7.932359089,8.212007401,8.362450438,8.388032581,8.415059022,8.505531743,8.343598892,8.323242668
197810,9.43974385,8.856597115,8.696459946,8.691609726,8.086427958,8.418844884,8.649326532,8.701527593,8.457635438,8.426498493
197811,9.695916326,8.900512471,8.014796071,8.193031239,8.210543791,8.54362574,8.669588727,8.639440798,8.428289447,8.367126738
197812,10.17466133,9.340490742,8.571406128,8.368890733,8.55004987,8.667079698,8.783853845,8.778667382,8.540665385,8.49651772
197901,9.749590888,9.005288216,8.01115664,8.159234759,8.5255443,8.752719094,8.705271159,8.710007202,8.594956929,8.488533366
197902,9.865698965,9.244292168,8.170732596,8.890233696,8.832374022,8.716586302,8.959517984,8.922382078,8.599359304,8.447448242
197903,9.651702086,9.249380771,8.189691964,8.725720071,8.759851233,8.64893064,8.647194204,8.597013666,8.866204799,8.851217295
197904,9.797396311,9.39015443,8.423231225,8.740967186,8.585295808,8.840613638,9.118807428,8.941605092,9.271028429,9.092386095
197905,9.508446655,8.970370503,8.071618316,8.569147059,8.397330994,8.599086451,8.894280192,8.915144047,9.154822753,9.010318058
197906,8.978033422,8.413458359,8.099327592,8.433176003,8.142961542,8.482467267,9.035025378,8.898708544,8.694326647,8.669258876
197907,9.414367537,8.63282796,8.265660608,8.569559485,8.390506985,8.850769343,9.148488826,8.939143986,8.702475799,8.610639882
197908,10.02469249,8.99600572,8.65250654,8.659117842,8.757023623,8.971304676,9.056053134,8.865809221,8.627205743,8.524712462
197909,10.49715511,9.139301344,8.752473906,8.58148776,8.822126633,9.11072679,9.179749372,9.091962591,9.182122214,9.097314065
197910,12.38288344,10.84780619,10.35492621,9.953149224,9.626260318,10.2621974,10.23607431,9.873501969,9.812810442,9.718087301
197911,11.25005457,10.19164214,9.09011468,9.597057721,9.737060166,10.62507494,10.1464523,9.770118223,9.566000908,9.444381466
197912,11.30836354,10.21931291,9.396552784,9.174186604,9.569298207,10.51724109,9.830784954,9.538260144,9.721752496,9.895689436
198001,11.74578842,10.68747515,9.936489264,10.48511215,10.75571259,10.96574077,10.92786969,10.72770773,10.67748412,10.81197162
198002,14.42090033,13.49467911,11.62090047,11.59398341,10.85219252,11.07343018,10.98971384,11.5696042,11.49711386,11.09944147
198003,15.00806999,12.91590277,11.09097853,10.08694678,11.02728156,11.43020564,10.8118263,10.90182531,11.12910662,11.4105933
198004,10.57588117,9.813002027,10.00523333,9.404752116,9.733615337,11.10721501,10.98556804,10.58357959,10.52761435,10.58611803
198005,8.577234058,9.149624845,9.538439555,9.618760827,9.935757939,10.43442354,10.51561561,10.53028658,10.55961838,10.60469947
198006,8.375002915,9.326903794,9.548304109,9.264134744,9.717277317,9.974987512,9.989723894,10.31349765,10.19732804,10.32255873
198007,8.975040312,9.904853315,10.18317399,10.06144576,10.16763917,10.22499338,10.40641699,11.13499933,11.12955046,11.14957724
198008,10.96334471,11.37252788,11.18242543,11.56442587,11.74910962,10.93870677,10.16979503,9.843794027,9.870947616,10.37712391
198009,11.79248909,11.57154968,11.29862118,10.98454843,11.46067333,11.36532357,11.17527779,11.07270105,11.17737491,11.67674689
198010,12.89927875,12.09498717,11.89205288,11.72732664,11.34627135,12.01094412,11.90528663,11.81861503,11.97500624,12.2008553
198011,14.08466845,12.41954135,11.93667973,12.31760085,11.53623927,11.10521,10.86917583,11.05249469,11.33243408,12.04675118
198012,13.12151131,11.44158615,11.73966565,11.91957469,11.39479668,11.51867782,11.68478302,11.3452515,11.10679601,11.5971676
198101,13.5660844,11.60540772,11.78022314,11.56760319,11.80330479,12.356911,12.34329063,12.11169031,12.01009846,11.94893578
198102,13.6721021,12.58920457,13.12151061,12.85018609,12.4922104,12.76792843,12.41831528,12.3067754,12.41132697,12.54106312
198103,12.53865904,12.55832458,12.89276786,13.02119073,12.30776656,12.4576608,12.35808985,11.9012543,11.76260627,12.25582356
198104,14.36600552,13.6079927,13.43698896,13.55417473,12.63918114,13.5784471,13.30062546,12.58348208,12.21417226,12.5505277
198105,14.42219512,13.37895786,12.59098532,12.8917998,12.28537091,11.61461405,12.15544621,12.16411395,11.98702143,12.46456992
198106,14.07947237,13.53063379,12.93458517,13.34255861,12.87672048,12.4367352,12.93942234,12.53867097,11.93226992,11.83380546
198107,15.36607181,14.4085663,14.19399808,13.64795316,12.9062179,13.36475769,13.36083521,13.56283186,13.41966592,13.17549222
198108,15.96195666,15.3993097,14.60121563,14.63491709,13.6372945,13.8429199,14.61506099,13.89510747,13.01629078,12.45101842
198109,15.56199618,15.87585764,15.2691246,15.19361442,14.07626141,13.9577456,14.71738902,14.87616736,14.97292644,14.88598599
198110,13.91403285,14.10005316,13.71922748,14.38483674,13.81700978,15.85993421,14.09926416,12.89637298,13.0405762,12.41969424
198111,11.25605396,12.28951223,12.58777163,13.28780887,11.91099641,12.24592024,13.39533018,12.84085584,13.44201612,12.99966865
198112,13.05159987,13.57449828,13.59187537,13.99854481,13.25883513,12.97688086,13.49327999,13.47145247,13.98397965,13.77721079
198201,13.56935932,13.66244459,13.72108357,13.72448485,12.73844223,13.89772133,13.95433439,13.86915732,14.07221329,13.19049535
198202,13.51728922,13.72747511,13.45304014,13.42679521,13.31269066,12.89815602,13.23728258,13.21216113,13.48915888,13.30353719
198203,13.72816543,13.75524116,13.81333181,13.78748521,12.98560243,13.58783858,13.33180912,13.43378187,13.49686262,11.19510861
198204,13.2335513,13.48117233,13.35977925,12.95304855,12.52536706,13.85536757,13.36796447,12.6585656,13.44925951,11.96763406
198205,12.63420981,13.49904804,13.33510092,13.30676959,12.68069863,13.13586477,13.26269888,12.92413145,14.35007938,11.55333085
198206,13.96902595,14.1459847,14.15811846,13.75626539,12.79161895,14.40722583,13.31648198,13.18066767,14.58021164,10.22782024
198207,12.41215121,13.12822796,13.65684087,12.65048458,12.08378743,14.90877687,13.18790788,13.48333954,13.94599293,9.96420999
198208,10.93757579,12.29085112,12.73608536,12.27612612,12.01832597,13.78000317,10.52977795,12.56558268,15.30649247,8.976123696
198209,10.12742428,11.86480239,12.1558682,12.02656487,10.3101432,13.64680959,9.987464575,11.57032128,14.57804362,8.101198155
198210,9.205144018,10.48550378,11.17836917,10.66303909,9.89704076,13.36903138,8.837206556,11.14317073,13.4328019,5.349305519
198211,9.179982693,10.31123718,10.91586145,11.29660502,10.62054797,12.61191535,9.80445584,12.17260073,13.22106178,5.12677576
198212,8.723380288,10.00467785,10.76029399,10.73689145,10.55309606,12.27561029,9.603745179,12.05697148,12.38441023,4.859489795
198301,8.838027367,10.15112306,10.86490705,10.61492684,11.20515367,12.92407785,10.56616097,13.1198776,12.14636534,5.748859991
198302,8.511725214,9.841758805,10.33706447,10.4776999,10.52543542,11.4682782,9.793112981,12.82243418,11.87979731,5.308943369
198303,9.148590733,10.14268352,10.52639031,10.81348646,10.85887303,11.35391443,10.00960376,13.01336375,11.2242604,6.203542898
198304,8.629442183,9.759337257,10.17545451,10.45954539,10.9191218,10.94752623,9.901701337,12.9198561,10.26344856,5.62766662
198305,9.173629589,10.36006586,10.68983883,10.98930205,11.05019719,11.69716279,10.50442397,12.99912941,10.01007165,7.729964675
198306,9.514097857,10.5034229,10.89347204,11.19808984,11.16775444,11.46398976,10.67525004,13.43122651,9.492098073,7.959563836
198307,10.16053874,11.28610993,11.66284326,12.24617162,11.93447376,11.62874312,11.96623939,13.88053555,9.867024839,9.722448081
198308,10.26011595,11.40637813,11.98075568,12.05232145,12.46608606,11.90775084,12.33148522,13.06730477,9.729746873,9.313273811
198309,9.619834589,10.85595759,11.3694245,11.73990096,11.96922495,11.58705869,11.99018126,12.9344121,8.556687342,9.461065756
198310,9.526220935,11.04720363,11.61357828,12.05009899,11.93913391,11.89019242,12.33558184,13.04447219,9.322475695,10.76023038
198311,9.662582618,10.99995505,11.43207327,12.1210582,11.80178298,11.67991236,12.06922983,12.34160895,10.06259286,10.24044008
198312,9.864260776,11.22931418,11.52388247,12.15194913,11.93713933,12.03253334,12.65186632,12.48016224,10.06619141,10.44271793
198401,9.600310399,11.0009545,11.30543665,11.79814736,12.02900719,11.81974299,12.51457679,12.34876384,10.09801231,10.70206395
198402,9.985907179,11.37847852,11.63752053,12.46838862,12.35861199,12.10439593,12.6432124,12.14054872,10.8899068,11.40826459
198403,10.6206963,11.84780561,12.15857419,12.59476415,12.68884794,12.80274096,13.28821664,12.74751596,11.21794891,11.74180479
198404,10.72507342,12.16635022,12.4840843,12.88288227,13.19302061,12.93015996,13.50923162,12.80023935,11.63212505,12.20881291
198405,11.83508335,13.2632364,13.69412335,13.84987131,14.3691255,13.84769094,13.94049214,13.8054525,13.09328244,13.08745816
198406,11.90546663,13.54627994,13.64239767,13.68275742,13.81269442,14.0020969,13.78280694,13.60181888,13.19044377,12.95217177
198407,11.55754559,12.78788165,12.48181142,12.67303155,12.773356,12.94103842,13.15758433,12.59150744,11.99190554,12.08313796
198408,11.58124408,12.67381731,12.47809438,12.72917113,12.68744518,12.67134444,12.88820229,12.26348384,12.00115677,11.82167606
198409,11.10263625,12.31352451,12.32506059,12.40209902,12.42773728,12.4768696,12.49649029,11.70593039,11.52688826,11.44906412
198410,10.14793881,11.48556334,11.64772084,11.66879154,11.68395856,11.99237724,12.24204109,10.99536609,11.23780107,10.59255629
198411,9.423208283,11.09780387,11.31295147,12.22671929,11.48391393,12.35157286,12.72450424,10.48122257,11.0460254,10.36922981
198412,9.0781061,10.73826829,11.34418752,12.02996154,11.59198616,12.93154091,12.91652945,10.10814374,11.63009714,10.55690479
198501,8.890720806,10.56679291,11.0390005,11.57527629,11.09035555,12.24060103,12.01157646,9.035400931,12.64535357,10.42460376
198502,9.646459927,11.11554525,11.75235786,12.44527153,11.78041049,13.13259975,12.79617365,10.15905201,12.84052098,10.90392095
198503,9.448250475,11.02231365,11.42229692,12.25422629,11.54427775,13.09924149,12.08871656,10.15015478,12.51422203,10.99300573
198504,8.955081714,10.69908399,11.15240021,11.90254301,11.31412921,13.23516675,11.56661962,11.09988665,12.63954168,10.25368503
198505,7.98837036,9.667916748,10.11136026,11.15114664,9.893254413,12.05976525,10.04168069,9.812103857,11.71221249,9.850171164
198506,7.724380945,9.559483574,10.1355023,10.84930599,10.50767922,12.63110755,9.647863696,9.656542684,11.66489402,9.858334396
198507,8.108258319,9.774180987,10.50971046,11.39211826,10.56552273,12.75228214,9.679567357,10.75083192,11.53639577,10.06070454
198508,7.961135423,9.591370388,10.35219541,10.88380501,10.38947757,12.09710147,9.164500957,10.66923156,10.8454965,10.5869412
198509,7.997446079,9.483463078,10.09876545,11.01736126,10.53636105,11.91560944,9.484230223,10.9262238,10.72722895,11.33065401
198510,7.911847896,9.207157382,9.831560997,10.39382008,10.52618493,11.55242941,9.058260895,10.56557516,10.27526651,11.10378007
198511,7.776023516,8.832866599,9.386711815,10.05512519,10.18283428,10.70010036,8.761227727,10.31664656,10.15052475,10.90932292
198512,7.572306036,8.177066826,8.811258401,9.338390396,9.367872484,9.80786271,7.828090546,9.28607331,10.46696941,10.607606
198601,7.573418817,8.225742509,8.813435818,9.292508921,9.594166692,9.907246315,8.225891871,10.15634905,10.1511412,10.38771419
198602,7.372586857,7.895813849,8.12377778,8.150451258,8.641929696,8.521444112,6.734414258,8.668408381,8.540885065,8.822774389
