model,benchmark,target_group,target_name,maturity_months,horizon,n_oos,rmse_model,rmse_benchmark,mae_model,mae_benchmark,mse_model,mse_benchmark,oos_r2,source_used,run_tag
DLNSModel,RandomWalk,yield,m151,151,12,267,0.015472238883376122,0.007970666512846947,0.010877019725739956,0.006337434519082308,0.00023939016682561487,6.35315227555111e-05,-2.7680532932281494,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m152,152,12,267,0.015451876446604729,0.007965195924043655,0.010847017168998718,0.0063324798829853535,0.0002387604909017682,6.344434223137796e-05,-2.7633063793182373,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m153,153,12,267,0.01543301809579134,0.007960018701851368,0.010817511938512325,0.00632792292162776,0.0002381780359428376,6.336189835565165e-05,-2.7590103149414062,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m154,154,12,267,0.015415623784065247,0.007955139502882957,0.010790061205625534,0.006323599256575108,0.00023764146317262203,6.328424933599308e-05,-2.755143880844116,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m155,155,12,267,0.015399654395878315,0.007950571365654469,0.010765889659523964,0.006319445092231035,0.00023714936105534434,6.321158434730023e-05,-2.751675605773926,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m156,156,12,267,0.015385068021714687,0.007946314290165901,0.010744567960500717,0.006315642036497593,0.0002367003180552274,6.314391066553071e-05,-2.7485849857330322,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m157,157,12,267,0.015371832996606827,0.0079423813149333,0.01072678342461586,0.006312209647148848,0.00023629324277862906,6.308141746558249e-05,-2.7458455562591553,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m158,158,12,267,0.015359899960458279,0.007938780821859837,0.010709719732403755,0.006308977957814932,0.000235926519962959,6.302424299065024e-05,-2.743424892425537,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m159,159,12,267,0.015349239110946655,0.007935521192848682,0.010694433003664017,0.006306014489382505,0.0002355991309741512,6.297250365605578e-05,-2.7413015365600586,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m160,160,12,267,0.015339805744588375,0.007932611741125584,0.010679975152015686,0.006303366739302874,0.0002353096497245133,6.292633042903617e-05,-2.7394466400146484,mat,dlns_lee2023_h12
