run_index,total_runs,status,error_message,run_tag,out_file,model,feature_groups,target_group,target_indices,oos_start,horizon,hyper_freq,nmc,navg,ncpus,archi,learning_rate,patience,batch_size,Dropout,l1l2,R2OOS_mean,R2OOS_median,MSE_mean,R2OOS_1,R2OOS_2,R2OOS_3,R2OOS_4,R2OOS_5,R2OOS_6,R2OOS_7,R2OOS_8,R2OOS_9,pval_1,pval_2,pval_3,pval_4,pval_5,pval_6,pval_7,pval_8,pval_9,MSE_1,MSE_2,MSE_3,MSE_4,MSE_5,MSE_6,MSE_7,MSE_8,MSE_9
1,384,success,,sweep_MacroNN_macro8_dy_oos1980__a3__lr0p003__pat20__bs32__do0__l10_l20,results_v2.0_sweep\sweep_MacroNN_macro8_dy_oos1980__a3__lr0p003__pat20__bs32__do0__l10_l20.mat,MacroNN,"[""macro_output"", ""macro_labor"", ""macro_housing"", ""macro_orders"", ""macro_money"", ""macro_ratesfx"", ""macro_prices"", ""macro_stock""]",dy,null,1989-01-31,12,60,20,5,24,[3],0.003,20,32,[0.0],"[[0.0, 0.0]]",-0.049363094780569244,-0.04686169458914047,1.2085546033246437,-0.05792730685680825,-0.05211781464191989,-0.04615114310025148,-0.05795781972492264,-0.04496277476776589,-0.048613463787614775,-0.04686169458914047,-0.046147080698248244,-0.043528754858451535,0.9752220873527181,0.9766822365171344,0.9020478271746016,0.9757592794397225,0.8613369719966475,0.9169926078877833,0.9124066213697084,0.8619981593289929,0.8322489401866036,1.9856796583718472,1.660362135965756,1.3936901002308497,1.228220162509587,1.089555176128726,0.9880103623891834,0.9029243321846495,0.836812300254216,0.79173720188698
2,384,success,,sweep_MacroNN_macro8_dy_oos1980__a3__lr0p003__pat20__bs32__do0__l11em05_l21em05,results_v2.0_sweep\sweep_MacroNN_macro8_dy_oos1980__a3__lr0p003__pat20__bs32__do0__l11em05_l21em05.mat,MacroNN,"[""macro_output"", ""macro_labor"", ""macro_housing"", ""macro_orders"", ""macro_money"", ""macro_ratesfx"", ""macro_prices"", ""macro_stock""]",dy,null,1989-01-31,12,60,20,5,24,[3],0.003,20,32,[0.0],"[[1e-05, 1e-05]]",-0.04820832380861625,-0.04664880484958478,1.2075236256466177,-0.058794325198352926,-0.05138486759483496,-0.04664880484958478,-0.056078323935541574,-0.04234438473898372,-0.04765085468376018,-0.04393982595596713,-0.0444836619499096,-0.04254986537061134,0.9719785956201864,0.9754136892018184,0.9051614651507403,0.9646213196510853,0.8325543703356104,0.9096362124592834,0.872452837108777,0.8333911397050893,0.8131577900807303,1.987307010906452,1.6592054617723226,1.39435308880366,1.2260381902410995,1.0868250497760268,0.987103385888898,0.9004042034054855,0.8354817327893114,0.7909945072363038
3,384,success,,sweep_MacroNN_macro8_dy_oos1980__a3__lr0p003__pat20__bs32__do0__l11em04_l25em05,results_v2.0_sweep\sweep_MacroNN_macro8_dy_oos1980__a3__lr0p003__pat20__bs32__do0__l11em04_l25em05.mat,MacroNN,"[""macro_output"", ""macro_labor"", ""macro_housing"", ""macro_orders"", ""macro_money"", ""macro_ratesfx"", ""macro_prices"", ""macro_stock""]",dy,null,1989-01-31,12,60,20,5,24,[3],0.003,20,32,[0.0],"[[0.0001, 5e-05]]",-0.04747783572888695,-0.04483247053880168,1.2063961548001503,-0.05649292966382258,-0.05073497548631645,-0.04170952239069359,-0.05685957482606541,-0.04337084975798944,-0.04858412932576339,-0.04483247053880168,-0.04229633359996732,-0.0424197359705627,0.9739560868231502,0.9775249243786479,0.8892228006511158,0.9715675487748011,0.8612729078627279,0.9197600212049142,0.8719624119432094,0.8268499059522982,0.8024403533123672,1.9829874000322778,1.6581798577625537,1.3877729410777784,1.2269451716706326,1.0878953178291844,0.9879827232702093,0.901174114577133,0.8337320904094795,0.7908957765721055
4,384,success,,sweep_MacroNN_macro8_dy_oos1980__a3__lr0p003__pat20__bs32__do0__l11em04_l21em04,results_v2.0_sweep\sweep_MacroNN_macro8_dy_oos1980__a3__lr0p003__pat20__bs32__do0__l11em04_l21em04.mat,MacroNN,"[""macro_output"", ""macro_labor"", ""macro_housing"", ""macro_orders"", ""macro_money"", ""macro_ratesfx"", ""macro_prices"", ""macro_stock""]",dy,null,1989-01-31,12,60,20,5,24,[3],0.003,20,32,[0.0],"[[0.0001, 0.0001]]",-0.046986947157617545,-0.043839015130574976,1.2060104761254218,-0.056966485520709265,-0.051733791140403884,-0.04020791671696888,-0.05757322769041662,-0.041612405835659505,-0.047412734734453066,-0.043839015130574976,-0.040460917810327235,-0.04307602983904446,0.971451441029423,0.9774248500194361,0.8742704531985284,0.9744801892939838,0.8447906818350447,0.9117264256918537,0.867025586325094,0.8089569594942849,0.8132240697460258,1.983876242040636,1.6597561029983785,1.3857724911660003,1.227773676191973,1.086061834643209,0.9868790277383203,0.9003172534791818,0.832263942634477,0.7913937142366195
5,384,success,,sweep_MacroNN_macro8_dy_oos1980__a3__lr0p003__pat20__bs32__do0_0p1__l10_l20,results_v2.0_sweep\sweep_MacroNN_macro8_dy_oos1980__a3__lr0p003__pat20__bs32__do0_0p1__l10_l20.mat,MacroNN,"[""macro_output"", ""macro_labor"", ""macro_housing"", ""macro_orders"", ""macro_money"", ""macro_ratesfx"", ""macro_prices"", ""macro_stock""]",dy,null,1989-01-31,12,60,20,5,24,[3],0.003,20,32,"[0.0, 0.1]","[[0.0, 0.0]]",-0.04234747774817471,-0.04371980103483164,1.1997509981632393,-0.03651207600738404,-0.05007115251405181,-0.04991044103606135,-0.04761016215481706,-0.04055291309785014,-0.04733806765158022,-0.029714412982970284,-0.03569827325402586,-0.04371980103483164,0.9178902950103243,0.9770021584663465,0.9665373968853571,0.958262110713594,0.9024608377858157,0.9083545418172392,0.7273452999328109,0.8190115523897826,0.8476099647444411,1.945484280105848,1.6571322692579253,1.3986982640621575,1.2162072056360766,1.0849571294571245,0.9868086759317146,0.888134701545704,0.8284543066664719,0.7918821508061293
6,384,success,,sweep_MacroNN_macro8_dy_oos1980__a3__lr0p003__pat20__bs32__do0_0p1__l11em05_l21em05,results_v2.0_sweep\sweep_MacroNN_macro8_dy_oos1980__a3__lr0p003__pat20__bs32__do0_0p1__l11em05_l21em05.mat,MacroNN,"[""macro_output"", ""macro_labor"", ""macro_housing"", ""macro_orders"", ""macro_money"", ""macro_ratesfx"", ""macro_prices"", ""macro_stock""]",dy,null,1989-01-31,12,60,20,5,24,[3],0.003,20,32,"[0.0, 0.1]","[[1e-05, 1e-05]]",-0.040737179962824194,-0.04136506310490562,1.1982572087562682,-0.03638168645773754,-0.04926578049195873,-0.050688722318591894,-0.04581519639347964,-0.039079453760920924,-0.04461798034152631,-0.026477526102465898,-0.032943210693831215,-0.04136506310490562,0.9175129075880859,0.9743401008207069,0.972838195261405,0.9447271770666662,0.8865760742264441,0.8863648587108643,0.6670143863391524,0.7787590141678344,0.8243886218359895,1.9452395450709166,1.6558613001780003,1.399735096001606,1.2141233672277911,1.0834207921959975,0.9842457921411238,0.885342867686425,0.8262505340986583,0.7900955842058925
7,384,success,,sweep_MacroNN_macro8_dy_oos1980__a3__lr0p003__pat20__bs32__do0_0p1__l11em04_l25em05,results_v2.0_sweep\sweep_MacroNN_macro8_dy_oos1980__a3__lr0p003__pat20__bs32__do0_0p1__l11em04_l25em05.mat,MacroNN,"[""macro_output"", ""macro_labor"", ""macro_housing"", ""macro_orders"", ""macro_money"", ""macro_ratesfx"", ""macro_prices"", ""macro_stock""]",dy,null,1989-01-31,12,60,20,5,24,[3],0.003,20,32,"[0.0, 0.1]","[[0.0001, 5e-05]]",-0.04136213956443327,-0.042949163534822477,1.1989970971616823,-0.03755710493552833,-0.050094013948848826,-0.051833276198193445,-0.04508739576643439,-0.03927920209847624,-0.04344798556948426,-0.027852430811102113,-0.03415868321700932,-0.042949163534822477,0.9247691972402171,0.9767297025961755,0.9767814305813962,0.9392489634004157,0.8877145377119846,0.8795769443557104,0.6751522124738321,0.7882825903327007,0.8321879000967394,1.9474457501157216,1.6571683472143888,1.4012598789373245,1.2132784380748924,1.0836290645291002,0.9831434155279701,0.8865287310361687,0.827222789699026,0.7912974593205474
8,384,success,,sweep_MacroNN_macro8_dy_oos1980__a3__lr0p003__pat20__bs32__do0_0p1__l11em04_l21em04,results_v2.0_sweep\sweep_MacroNN_macro8_dy_oos1980__a3__lr0p003__pat20__bs32__do0_0p1__l11em04_l21em04.mat,MacroNN,"[""macro_output"", ""macro_labor"", ""macro_housing"", ""macro_orders"", ""macro_money"", ""macro_ratesfx"", ""macro_prices"", ""macro_stock""]",dy,null,1989-01-31,12,60,20,5,24,[3],0.003,20,32,"[0.0, 0.1]","[[0.0001, 0.0001]]",-0.04118452177963997,-0.04294268055063388,1.1987747372106357,-0.03744096157597632,-0.05001906403496981,-0.050908487101015254,-0.0451278115853222,-0.038580703082752965,-0.0442732367685017,-0.027699408082500154,-0.033668343235087494,-0.04294268055063388,0.9237838179062896,0.976082830057778,0.9727898004342287,0.941666965413043,0.8837589006061533,0.8857713176551748,0.6765454213818585,0.7846050123253687,0.8328235841693288,1.9472277545076848,1.6570500676858353,1.4000278682302318,1.2133253582098116,1.08290075799371,0.9839209725252421,0.8863967480380828,0.8268305670988303,0.7912925406062927
9,384,success,,sweep_MacroNN_macro8_dy_oos1980__a3__lr0p003__pat20__bs32__do0_0p2__l10_l20,results_v2.0_sweep\sweep_MacroNN_macro8_dy_oos1980__a3__lr0p003__pat20__bs32__do0_0p2__l10_l20.mat,MacroNN,"[""macro_output"", ""macro_labor"", ""macro_housing"", ""macro_orders"", ""macro_money"", ""macro_ratesfx"", ""macro_prices"", ""macro_stock""]",dy,null,1989-01-31,12,60,20,5,24,[3],0.003,20,32,"[0.0, 0.2]","[[0.0, 0.0]]",-0.037619465908172924,-0.03599464735643165,1.1949076799865974,-0.03569940279892592,-0.048204736063337084,-0.04396742466605352,-0.04365612852555034,-0.030252276349021612,-0.04416415077257141,-0.029723724957653186,-0.02691270168401161,-0.03599464735643165,0.9136510622796745,0.9822526289533369,0.9505547641942124,0.920579043155084,0.8090874011930707,0.9196948986707737,0.7438340709577765,0.6782921832486917,0.8063526665406542,1.9439589308228866,1.6541868508251398,1.3907809347785098,1.2116168299744376,1.074216926688081,0.9838181909969747,0.8881427331783123,0.8214267342627481,0.7860209883522852
