Time,xr_2,xr_3,xr_4,xr_5,xr_6,xr_7,xr_8,xr_9,xr_10
199009,2.6070618249073094,4.514687859522658,6.391919772641651,7.481260292036637,8.667464046618914,9.502979051466541,10.401292530625838,11.40961657182507,12.410731941347256
199010,2.7032442911868095,4.6973868617899885,6.453810949482081,7.40381258001134,8.45373382587239,9.004585350969581,9.741514474484866,10.461051000941676,11.152909741012724
199011,2.7962578945838494,4.687163433852501,6.13650817600496,6.693551808144931,7.620402707941479,7.678980237046878,7.860302169342152,7.712525104527221,7.354606927739822
199012,3.130390982104161,5.526971241013309,7.396805079150522,8.27056320777837,9.61599773942843,10.637115321624286,11.487003465484516,11.97305586427391,12.43456793269372
199101,2.93776374459802,4.70315659212237,5.897904571514952,6.30054286339118,6.802669249263222,6.80025150612937,6.926201297907479,6.881064350885338,7.086747220899855
199102,2.90207208014034,4.57881157661338,5.72737452462571,6.097687204761842,6.575313787326063,6.625433846782118,6.869426763343773,7.133826043489788,7.848789742767442
199103,2.845448091062999,4.179151394691681,4.981073962217299,5.183564744169159,5.88106391304022,5.604785757096163,5.71892259977031,5.666588876495826,5.901990070173704
199104,2.97231180179131,4.327607599410999,5.248653041078751,5.4555288547487315,5.94126735024088,5.7096379241685,5.5860319596765935,5.201591239990088,5.0324643976326255
199105,3.032584144606119,4.732116926344882,6.1433940594177585,6.827979119666118,7.558069758321786,7.94863070883617,8.048620720274773,7.896302571678888,7.5932495747991915
199106,3.3410958078554804,5.91678196141614,8.005545235770128,9.07713942663822,10.097304519004737,10.576500767455723,10.966977161049023,11.050588782526166,10.72875529450376
199107,3.6349965249643104,6.46445760130889,8.84694864743215,10.26299349892945,11.584559550150566,12.470787450510993,13.411304306771555,13.957514790961348,14.357720069133102
199108,3.2844619946190607,5.96134468718877,8.26491666196097,9.46333739913406,10.80572873026819,11.318880142000186,11.77925262639137,11.877229193592239,12.164642695038125
199109,3.3234371098184403,5.919614377214279,8.168545680581119,9.25448463478169,10.414705960988991,10.873368699009252,10.87609576619241,10.816813513201767,10.954930704124902
199110,2.53102045765747,4.209404668990871,5.697330075044482,6.1960800168554195,7.295189897337987,7.829004364599828,8.120855520360749,8.018710617427278,8.56923085922482
199111,1.9722328405076999,3.1786161300413296,4.193690422766569,4.2852960242672085,5.258195657883416,5.8096865902497505,6.591524272971051,7.5662090070332555,8.74404745398119
199112,1.6284059302824705,2.573840786525839,3.297455243114851,3.2450352844133876,3.2931352556312987,3.239875875395975,3.448451690709616,3.9725093269381393,5.40837154272696
199201,2.3789928169776293,4.529977736799008,6.35713858263703,7.586701985268961,9.008648345428488,9.837294332923818,10.934485131408596,11.440868238707473,12.333234920338032
199202,2.6544130864060107,5.31983359874447,7.83488165708288,9.265944835028499,10.998806145252278,12.30924157520979,13.247997126693372,13.252178463106823,14.168508845508946
199203,3.132270920596139,6.3351931316149805,8.941951359664738,10.40456367077776,12.469350814109067,13.668625636825888,14.615871943617808,15.281240437137033,16.259558377567934
199204,3.050620963576801,6.31265020735182,9.04723582975474,10.945649812075771,12.926328680298113,14.2964807671799,15.622284080814076,16.62842848130309,17.583980461306563
199205,2.344104458110559,4.7868867638612205,6.975958437498322,8.658008276485312,10.2692419871596,11.732529766801331,13.056912810492008,14.215655553308125,15.09145920664032
199206,2.0138301670822503,4.30820621773037,6.5721806699405,8.57792630457908,10.594728339054798,12.433970445018211,14.309130001433868,16.048081309536624,17.32665175503598
199207,1.5172154197668806,3.1301737013339013,4.905911521353761,6.445934917871502,8.028961661470632,9.31088526638165,10.880391028981036,12.291630812302401,13.530521007086055
