Time,CP
201605,-0.355972356
201606,-0.900176271
201607,-1.101605137
201608,-1.069478899
201609,-0.933809042
201610,-0.444242043
201611,0.795631069
201612,0.820785501
201701,0.259197977
201702,0.101254141
201703,0.439460138
201704,0.20686574
201705,0.021543656
201706,0.189770432
201707,0.157243259
201708,-0.338101406
201709,-0.073751919
201710,-0.179096506
201711,-0.448899716
201712,-0.428115493
201801,-0.47564776
201802,-0.124116907
201803,-0.50787181
201804,-0.471312786
201805,-0.588481904
201806,-0.628501041
201807,-0.835810745
201808,-1.000932472
201809,-0.749517387
201810,-0.684777568
201811,-0.678953202
201812,-0.417771449
201901,-0.818595596
201902,-0.835829878
201903,-1.026983952
201904,-0.850901951
201905,-0.778752229
201906,-1.171988431
201907,-1.406095255
201908,-1.802229927
201909,-1.884340461
201910,-1.961439635
201911,-1.818211359
201912,-1.463784413
202001,-1.750392079
202002,-2.078909009
202003,-2.996723745
202004,-2.98125595
202005,-2.664315947
202006,-2.745181063
202007,-2.99726009
202008,-2.891043373
202009,-2.769471546
202010,-2.285570167
202011,-2.517591399
202012,-2.373170342
202101,-1.8742443
202102,-0.332060293
202103,0.770160124
202104,0.173331429
202105,0.167784681
202106,-0.536468083
202107,-1.069790654
202108,-0.913976855
202109,-0.182530042
202110,-0.625504808
202111,-1.468310508
202112,-1.347900173
202201,-1.660597238
202202,-2.426512124
202203,-3.573433594
202204,-1.977723796
202205,-1.167923374
202206,-0.48484436
202207,-1.291094692
202208,-1.00137453
202209,-0.59628974
202210,0.231593112
202211,-0.086165563
202212,0.311319184
