Time,24 m,60 m,120 m
199009,7.88964951966652,8.41545927638671,8.79392513059546
199010,7.64476565889942,8.18999428980414,8.6583946038489
199011,7.4538771409196,7.87824535763656,8.27497310315914
199012,7.11701414922902,7.66316340769813,8.13584281023523
199101,6.96566195487246,7.61029705979314,8.10322270295963
199102,6.92187451816963,7.63479611091659,8.10334498416979
199103,6.9527932219435,7.72619354173926,8.11342879968565
199104,6.78953564013509,7.63106639834655,8.10081101297429
199105,6.75710201261426,7.65308628527219,8.15503066266658
199106,6.88951889216068,7.87530382972371,8.30471340469429
199107,6.74849458132379,7.72175579130419,8.23484292601258
199108,6.28950127929144,7.31697055165752,7.96046532615356
199109,5.98178543402322,6.94716924673391,7.62392079593938
199110,5.67488254772063,6.78649680764925,7.6897816276838
199111,5.35753037790659,6.60511556019757,7.69956413642135
199112,4.76259109197602,6.09028770813275,7.10261749607447
199201,5.11836817249798,6.59612693035346,7.60520031089987
199202,5.23158172173082,6.68990136611967,7.52502269100279
199203,5.58632134131683,6.9885282210343,7.72578449919343
199204,5.37231436307872,6.93660063435514,7.82824737556356
199205,5.1264401436233,6.64594320789664,7.61296851627972
199206,4.80817720067897,6.36122987521871,7.43883580378512
199207,4.38127824943911,5.93915894836675,7.01709010726016
199208,4.13184347359652,5.74108584233427,6.99582214943479
199209,3.80243944006149,5.44229091736919,6.81542160904343
199210,4.43672042567579,6.00063502171516,7.1591251291039
199211,4.80366673635074,6.3254017745241,7.19110912325495
199212,4.52538900179188,6.14138825576012,6.9596860456963
199301,4.17743566692965,5.63800592524635,6.69459809283286
199302,3.90501488651167,5.29930203119025,6.37749089309741
199303,3.92198082171302,5.31882161410925,6.38731759704882
199304,3.77997465084,5.2328924790296,6.37670459504325
199305,4.17337013059639,5.38842298501921,6.4249145400224
199306,3.97423594279087,5.08156061785375,6.01600582962643
199307,4.08811917747804,5.17770827856638,6.0106911290361
199308,3.82103031346644,4.81198897657904,5.72018215748232
199309,3.83989927811548,4.8050435757855,5.64925528078998
199310,3.95419128401262,4.85494975969379,5.64259534500513
199311,4.16729773423981,5.17943225742904,6.02656131981527
199312,4.19734932607426,5.22456590658239,6.02712942215046
199401,4.06864282724227,5.0251099039385,5.83463231769229
199402,4.63961565679159,5.60756385569785,6.35710116317149
199403,5.17553799288875,6.24657274916221,6.9570436073781
199404,5.681641214887,6.59947939470024,7.17986445509705
199405,5.92690370360933,6.71805141733234,7.26687366467111
199406,6.08002494994638,6.90286109657917,7.44151130724458
199407,5.9126255647339,6.65956208801554,7.20949655696361
199408,6.03512329025829,6.73514960111193,7.2602250605314
199409,6.47562805123215,7.21104814038331,7.6595448715379
199410,6.6904947961432,7.39726892042359,7.81941501158654
199411,7.26394673214243,7.6678784084922,7.87184676080781
199412,7.54797386929506,7.69965033059525,7.75501909338437
199501,7.12943432699097,7.4388514396211,7.55980423024498
199502,6.66467319542207,6.99267248246395,7.23197168765587
199503,6.68084724793173,6.99736214156075,7.23689899288531
199504,6.48360618026916,6.7943380695889,7.10005566591096
199505,5.78225168346459,6.00171289021642,6.38406214164611
199506,5.75250611370507,5.92483881526949,6.30085452365067
199507,5.8172892205442,6.13226665715963,6.54020622509767
199508,5.76057499506925,6.01865986768622,6.38323146796591
199509,5.78251320606835,5.96720738592066,6.265078865721
199510,5.56339993377906,5.76445827853539,6.07840909689114
199511,5.32020742265084,5.49045285427458,5.82054508326975
199512,5.1416733799686,5.35286069724347,5.64340696081874
199601,4.91343882952902,5.24701398749403,5.67839343522055
199602,5.35356415554283,5.70926763210479,6.22597927351397
199603,5.71631848812255,6.04963497542036,6.44988901137077
199604,5.95735324214512,6.35551619958149,6.72362530119304
199605,6.13048141637273,6.5706042269958,6.86666869419947
199606,6.04196252658958,6.4062367066777,6.72415848650837
199607,6.1109562321441,6.49717874167448,6.73419359504672
199608,6.23341657483852,6.65699502877495,6.89921178865911
199609,6.01003157300141,6.41083614638695,6.67355171256699
199610,5.65307953805134,6.02433644674065,6.32857271569602
199611,5.50870331670387,5.77177997534822,6.05890068633947
199612,5.79674079878966,6.143821405611,6.40907048926136
199701,5.82909854814149,6.19983058866005,6.4933596615347
199702,5.98487856431336,6.33307897221952,6.57275349460198
199703,6.33137894215479,6.69053072715412,6.90348785578566
199704,6.17495854149149,6.50759628509821,6.72600417956327
199705,6.09586328279742,6.42990708654127,6.66185898946351
199706,5.99073009439777,6.3098870412941,6.52556018977245
199707,5.64023223523909,5.84189517117833,6.04936635347427
199708,5.88810620585139,6.16455853397061,6.38458126706979
199709,5.72311386588628,5.94226608013322,6.15863156877001
199710,5.57921285666094,5.71544367507953,5.91848918798475
199711,5.73274975544518,5.81420969789075,5.89043152824587
199712,5.58811661515294,5.66057493878195,5.76449773125447
199801,5.27645754261499,5.35841707125264,5.55753414815501
199802,5.48023512758532,5.56108759448507,5.67482299168905
199803,5.51669434601163,5.60265337328374,5.71498779442302
199804,5.52499925593218,5.61448900096511,5.72631671136454
199805,5.48337770578231,5.54942120065293,5.63397248201251
199806,5.43914491177355,5.45968951834414,5.50794615910444
199807,5.427587498718,5.49278903486686,5.55372249970219
199808,4.824109178628,4.90020516040485,5.10025002290632
199809,4.34299766603166,4.34436864457758,4.58922435514953
199810,4.27258309867143,4.4132532233461,4.81853730621229
199811,4.52680877146053,4.64809029816312,4.84284935285524
199812,4.58647615026231,4.65706419013148,4.90510637234798
199901,4.58419485695107,4.62852862880654,4.82714079706519
199902,5.13297361448372,5.31617298902998,5.45012136922499
199903,4.97235489014996,5.24414586659888,5.46935777525755
199904,5.0525138666231,5.28778259603199,5.50502600431791
199905,5.378568550179,5.70000846595091,5.77398819857316
199906,5.45732789712517,5.78562516787644,5.91911617179369
199907,5.58329353663387,5.94278133839173,6.06156289915724
199908,5.68473665288496,6.0432374345582,6.15093443788018
199909,5.58302689619359,5.92295832077308,6.10838823497925
199910,5.76030396469413,6.07148597053305,6.19081724979691
199911,5.94692731978644,6.20290471378135,6.34195367067778
199912,6.16450862765564,6.44130373296164,6.56020893875465
200001,6.53361262483139,6.67209187231731,6.60828623789116
200002,6.45714350296222,6.59755689761736,6.45452592853799
200003,6.3953553198392,6.26113663275826,6.07762279688145
200004,6.58171212759978,6.45933986890079,6.2259299849339
200005,6.62171403103769,6.47013685099313,6.26802233449859
200006,6.32514949711298,6.1606670029896,6.07343193669385
200007,6.25333236170397,6.11845136736905,6.01021538683746
200008,6.1002665396075,5.91434402452612,5.82723228824237
200009,5.93204492876873,5.79903510884087,5.91250617681681
200010,5.88907798434517,5.73346105031367,5.81442833722542
200011,5.60449924774532,5.44037860304112,5.5261067977072
200012,5.12978536909351,5.0279355172154,5.26405051978704
200101,4.6346625641877,4.85859332491999,5.23340813292412
200102,4.44720456002836,4.70274007943137,5.09541594760238
200103,4.25284071419826,4.62067566585604,5.14778963539179
200104,4.33301421386679,4.94210232622025,5.53243159549279
200105,4.24834337581849,4.99819162680999,5.56120945638354
200106,4.2978384735775,5.04919987616646,5.58963547160639
200107,3.83633847469412,4.63002711719334,5.22914369521786
200108,3.65598489599207,4.47127103884812,5.06941540275609
200109,2.87935751228877,4.01778463602817,4.90293413114128
200110,2.41376432014975,3.65306846163677,4.54037977135393
200111,2.85186611851551,4.20397420895754,5.09912701957196
200112,3.03777153221383,4.51347161623476,5.36378422971163
200201,3.11531030950636,4.52636592855099,5.28697165133259
200202,3.01734097558208,4.35554078684622,5.16818627026595
200203,3.68836899816021,4.98239045060924,5.67261858863055
200204,3.21535628241302,4.56473730856324,5.32985882363242
200205,3.17994138700682,4.41054957004873,5.2806473592898
200206,2.86092416393243,4.13197347029008,5.08929728719014
200207,2.21807073242341,3.60461765815844,4.77613063052383
200208,2.12309089498408,3.30130232280291,4.39736943543175
200209,1.70021717814384,2.69086719156748,3.93638518545649
200210,1.69543303391457,2.87866680937539,4.24152560866099
200211,2.08255886581034,3.36778053301889,4.52385687201073
200212,1.59298326043456,2.82246063654102,4.13327290268874
200301,1.69864760689421,3.04446460785571,4.25389391068019
200302,1.50722336782118,2.72937195904588,3.95418205673063
200303,1.49006017121661,2.81966935079274,4.0939329721639
200304,1.47965126354209,2.85884455447891,4.09741771091568
200305,1.3138320235839,2.34583993444204,3.59872867562734
