Time,12 m,24 m,36 m,48 m,60 m,72 m,84 m,96 m,108 m,120 m
197108,5.17003464787937,5.46568235600117,5.68810697797489,5.7754537008351,5.92728611672315,6.07557032887901,6.14119269226734,6.18158182818135,6.22164281369682,6.26539593524199
197109,5.18815203330096,5.4372158702796,5.64190153570184,5.77172990805781,5.92638443832606,5.98643272694061,5.9638603894769,5.91786235120461,5.87288830172068,5.83899999939377
197110,4.56552644341238,4.91979369466233,5.19120349468893,5.44741356101518,5.64236247552565,5.7575806744792,5.77172350675918,5.75632731070599,5.74157764770757,5.7406677067257
197111,4.65240783877525,5.01339334119571,5.28796003998998,5.49387619131828,5.68224820058432,5.8636856530397,5.90609671225184,5.88129081841605,5.84488930167476,5.82314983779635
197112,4.24743775465448,4.76337062000479,5.05006066209166,5.23945320547452,5.41548699529408,5.61861887188693,5.73902035298833,5.79852431419982,5.83939862045224,5.88255804451761
197201,4.08987093023999,4.78415766228832,5.25144836411,5.5307359271088,5.69920776699897,5.83739181894655,5.92999764840208,5.98894286637743,6.033661191147,6.07693685689236
197202,4.18678210590787,4.73248737287442,5.19546593901025,5.47065348075989,5.63558801844132,5.7665880284263,5.86593523421403,5.93334258460728,5.98080075687509,6.00857460322287
197203,4.88091501290377,5.4932237299725,5.7561418490837,5.88745655522786,5.97275186515502,6.03125324895822,6.05822832293463,6.06169107795864,6.05475025562052,6.0416056307375
197204,4.43459729250335,5.05203014231908,5.48815324976652,5.66221537216216,5.75513940551963,5.8664748204779,5.969327309435,6.04255316465677,6.10049135089607,6.14472479027683
197205,4.49603878320147,4.93979193462828,5.36543197082208,5.5532118933827,5.71777381590153,5.82122050293479,5.90876400382689,5.98443993113442,6.0502830587341,6.10110118502232
197206,5.04071499704067,5.42430503056673,5.68335932824288,5.8140399682255,5.92242412654173,5.97437514262144,6.0050077637138,6.01602963096287,6.01366296375345,5.99778665750614
197207,4.71700149236806,5.20522053545287,5.64336732963385,5.81926500870898,5.91195011621876,5.97598530183286,6.03648530102298,6.08814963263348,6.13050470658402,6.15983876731055
197208,5.26199946829319,5.60492206817045,5.89247356671092,6.04793516213346,6.12942902960408,6.1885955413204,6.24644147721839,6.2736765897651,6.29067921307994,6.32726124900121
197209,5.48765388139986,5.76375999669289,5.92371659987605,6.02413352143689,6.0870226174203,6.16710908053034,6.25095620200345,6.32935549966777,6.40014850013594,6.45972262469724
197210,5.35754443766866,5.73492507860116,5.92886405105147,6.06089041968725,6.10620561129748,6.15523263151488,6.20671935997887,6.24908900278663,6.28929935608999,6.33001522844797
197211,5.27703271315641,5.59932211256736,5.85369581490373,5.96637476785788,6.00724120051266,6.0421264266357,6.08662072911915,6.13209139128358,6.18001377077158,6.22711718792483
197212,5.50397983538698,5.83680564941318,6.01243757826605,6.0743400506079,6.10983043771245,6.15008133641932,6.18322714595331,6.20620595287811,6.23564796277503,6.27524304242173
197301,5.98419767327902,6.20413155915353,6.2975065414026,6.33849549905661,6.32561266999148,6.3071440096524,6.30088302885809,6.31671091881193,6.34909941840447,6.39083733213344
197302,6.23520083994868,6.52559243849472,6.58745989809335,6.628968179327,6.59356030957204,6.56577360523573,6.54034281927995,6.49145728052407,6.43477399223679,6.40657440985178
197303,6.83792987607538,6.80913471175992,6.72376232526356,6.70282982797491,6.65051609417762,6.63358248624997,6.62118859942785,6.58206541272599,6.53008235496413,6.49028245386526
197304,6.61470785667855,6.63682624677765,6.6398270161932,6.6205907004888,6.58181111696927,6.59453781804621,6.61970432356748,6.60785059043241,6.5821971253356,6.56678467544658
197305,6.94267092913286,6.77072396490294,6.64750517269286,6.61283941377309,6.60880287551009,6.65880800633129,6.72404852058526,6.75348515406104,6.76068704292618,6.74983578950076
197306,7.53285575068884,6.98125881929326,6.87817813201308,6.79473187824405,6.73665148871739,6.72633570848585,6.73918878498599,6.75111746664073,6.75468464625343,6.74748773087574
197307,8.53342891778679,7.95634665688681,7.79131225547938,7.73342159212563,7.61969867589758,7.47466713353301,7.33556967076655,7.23341260387675,7.14897449211378,7.07839933244802
197308,8.26638581090929,7.63060156847649,7.25816377840087,7.12968135518317,7.06059221651419,7.01688189408149,7.0054317077602,6.98905072099052,6.95104799161822,6.88768959897496
197309,7.41859874855958,6.79460176771309,6.60170776428481,6.58899644016682,6.58476754012677,6.60314708283962,6.64126779754126,6.66754639287585,6.68373983464247,6.68919671962861
197310,7.14592787092304,6.67862792443292,6.65550645090774,6.64879578808479,6.63886357166023,6.63134541496359,6.61419380281116,6.58707811834826,6.56789667522298,6.5606139654521
197311,7.48101890048614,6.70087067570919,6.61529176659279,6.5990563549772,6.6256324028705,6.66031685109205,6.63222978099382,6.58640683434657,6.56684181309852,6.57706178796548
197312,7.19154137301293,6.73816432254713,6.65320371569432,6.64984397049898,6.65928985106773,6.6606761510489,6.64811947541764,6.64181258142235,6.66504623087582,6.71885701063584
197401,7.03388210885157,6.67783643346256,6.69845503847595,6.73432515668892,6.77973914504448,6.82249779082607,6.82959203639007,6.82491419345963,6.84136685335102,6.87629769040242
197402,7.04826784290159,6.78912779502447,6.78257280455269,6.78256943879318,6.80805026225349,6.82935459503023,6.82439018511618,6.80883786307911,6.81460026756362,6.84822482154652
197403,8.15341225641592,7.68923923751752,7.59220118409371,7.52607809935261,7.49459511141641,7.45737082603206,7.33363486152305,7.19893095902078,7.09329106268968,7.01663868089594
197404,8.74277144146164,8.22401190688366,8.09104699781885,8.01300807094545,7.97282334790495,7.89361875944026,7.73351513790116,7.58567478855266,7.47523218878421,7.37709844937717
197405,8.37026235848954,8.00397751655192,7.89421378143355,7.85941893761156,7.84059806746934,7.76889396056968,7.64394412618239,7.51413984880172,7.38833822598489,7.2703360469178
197406,8.45784859948912,8.18060536235137,8.14194726853155,8.12167851143633,8.07942761445483,7.93962649642175,7.76857962593724,7.60668627542718,7.47253624185663,7.35120084098722
197407,8.49168499499746,8.38798903674545,8.34859900207266,8.28594951901371,8.22954864629556,8.11182759510668,7.95054484023432,7.7656164931949,7.57032151958622,7.37420562443381
197408,9.48627278734245,8.75126393186836,8.48330670225625,8.35896151908653,8.37489408030429,8.31239667709119,8.14069686911099,7.97408815295955,7.84434214233226,7.69017536532483
197409,8.03066208933281,7.92238663829447,7.87598459111087,7.86497236629055,7.85886784511473,7.83861117686892,7.79517230304103,7.71616685158828,7.61254307936938,7.50525696818106
197410,7.80102912905768,7.6481766618018,7.7323478555199,7.75677178552796,7.7545636414073,7.68057372586955,7.50454311198377,7.34980053451003,7.24709733829124,7.15894563636175
197411,7.48908037602728,7.22094658858712,7.30955575223941,7.34221275355165,7.39172082997255,7.34638490208355,7.27563964973121,7.20439525125771,7.09195290807389,7.00123258269433
197412,7.0679376054921,7.14646181741854,7.13797603562518,7.12171490237524,7.11010486635718,7.0544864160125,7.01367104702939,6.96899549188584,6.89213894857453,6.82698349576406
197501,6.12594601506454,6.61537999110871,6.86016649195705,7.01500517235587,7.14912697397663,7.14450114560984,7.10161448927434,6.97463982062984,6.84613945313485,6.73185251462472
197502,5.85829364009203,6.2170106889406,6.51715837667813,6.72263246822679,6.91676803582881,7.04171346765911,7.03942672048508,6.90796909981695,6.75969768851538,6.61870928536582
197503,6.18223220702986,6.68043672889656,6.95719761152582,7.14290359188727,7.26562992870942,7.30019420971513,7.28787866083577,7.09443117566946,6.8973312537443,6.714638189397
197504,6.68670814449028,7.4152217890427,7.65978585261565,7.76878747900811,7.79633866601046,7.72231585992827,7.63077015747282,7.38519273665404,7.14866110461446,6.92152355511196
197505,6.02622704375982,6.74466081727718,7.08060031024131,7.21212296755018,7.33454644334196,7.47814753636744,7.50033601569133,7.49556740327801,7.49615085235273,7.4983838914882
197506,6.68066420099249,7.08654019762344,7.29943111470165,7.4356790105527,7.46849663518589,7.52475210776175,7.454598246838,7.42896987897821,7.42422270980063,7.42784088288194
197507,7.13625293980312,7.52225550254355,7.73580442862532,7.7434906764669,7.68957273390834,7.68456632311992,7.59213088625416,7.54617062880855,7.53011724096569,7.53036716956111
197508,7.30100253356372,7.60563417225125,7.75984118553472,7.8823796256192,7.81338941751429,7.80375024142901,7.82887496014216,7.7883467978877,7.73615025280407,7.71346589993861
197509,7.48351111256421,7.91918342906728,8.03258978894685,8.11414442870195,8.03303579848774,8.0699134171711,8.10835540274489,8.07026885833615,8.03719614387331,8.03380658152673
197510,6.19460022631459,6.88843876739723,7.17859247568244,7.31121907724731,7.46683234507251,7.63113745706287,7.68983105210581,7.72603146161079,7.75999859896582,7.79115291920779
197511,6.4702394471415,7.14129650662195,7.38625956562994,7.45961520643808,7.60167879140409,7.75282059636709,7.81143796378774,7.79862369212989,7.79055743113375,7.80004177811108
197512,6.02768985036644,6.63658268761442,6.97812290977816,7.16578910946266,7.30538474343948,7.41772611415773,7.47269651058565,7.46926054260525,7.47151832029517,7.49286068288307
197601,5.51173183761484,6.32056228392624,6.8407679243294,7.07822496599096,7.32351911049148,7.41420961370968,7.49529669433466,7.44426043890463,7.37812050244508,7.33297302380079
197602,6.01386099789689,6.65108625585052,7.0027127902595,7.11023853171655,7.28571897069029,7.39476838544091,7.47144245728213,7.42447311943986,7.3676355271478,7.34569032948886
197603,5.93738030274937,6.59082802076844,6.90434851121698,7.10331403529653,7.24202495900582,7.31266674081435,7.39097570115398,7.36140989311541,7.32655851645059,7.31985048175123
197604,5.92907405162373,6.52787629845971,6.8069248846812,6.99130398278203,7.19524995442862,7.29071442736961,7.38285731761397,7.3852268923778,7.38833017615582,7.41477468971843
197605,6.60045117243701,7.17452653758284,7.362551173231,7.51787540100334,7.54766884240856,7.54513016263001,7.6788824907843,7.66390215209988,7.6400982346313,7.63663836067049
197606,6.3201853034284,6.85809108764192,7.08960564996999,7.2808911976538,7.39390710622795,7.46788285761132,7.55898582174754,7.5532744079219,7.54614048508856,7.55446128952219
197607,6.02773056995126,6.63696047839478,6.90945079041987,7.14075355337313,7.32405361834186,7.45135151234689,7.5136464173296,7.52046221634211,7.52726166218847,7.55235560777759
197608,5.83922463843198,6.43689204002658,6.68610768935279,6.9516773839652,7.14447079023609,7.25835140481639,7.34333731808413,7.39521649519233,7.45028412071607,7.52006684126472
197609,5.70180177950727,6.22181939253539,6.52576936397794,6.78669100044922,6.98989837129333,7.11804635273682,7.22631584390735,7.27294855046951,7.31579574414225,7.36824306449803
197610,5.44501197472258,5.97631054329015,6.25155089572006,6.54669942559001,6.72890278956004,6.90214418913953,7.05969464812694,7.1236562871556,7.18552920634988,7.26378364249294
197611,4.91094899093727,5.36765393389991,5.62137896098307,5.90167582781117,6.09371101096792,6.36563411029733,6.53554567511681,6.67169775276451,6.82467436488687,6.97910362748875
197612,4.84327429112929,5.31310394272611,5.65217638630089,5.92778944389146,6.14468656612375,6.34272648765331,6.43342274869845,6.49496785203968,6.56957786996979,6.66068696219113
197701,5.55804148874905,6.08489401756217,6.43417880940106,6.72597017699125,6.86454962050427,6.97222168793682,6.96911950147833,6.96726365818564,7.02356893350091,7.06643840272462
197702,5.47463918702471,6.01795897410431,6.406234961583,6.75544800627679,6.93754421672472,7.0458256414844,7.03898347076571,7.02465949484193,7.06831418338872,7.11423894650059
197703,5.36296301150002,5.93608321138959,6.3346232128669,6.67924944250567,6.87264299662095,7.02185535391331,7.05100846389933,7.06616535307112,7.10061131965896,7.13367771568079
197704,5.46123467414749,6.01046683001212,6.34419736480337,6.69659608377688,6.83992705072593,6.9823753973301,7.04269938278646,7.08391797479866,7.14372026003865,7.1870711243335
197705,5.70097418467747,6.07862815878361,6.34022297845479,6.64317424476743,6.79921080533878,6.91911351976925,6.97354313187485,7.03015805957606,7.09787850573006,7.13170560312384
197706,5.58696410569446,5.96910763697954,6.17795280925757,6.47021072049963,6.61352637865559,6.75905935038981,6.86950234853209,6.96147320744041,7.05029767701581,7.14433653526922
197707,6.06864422891708,6.37622547853743,6.55988556205777,6.79547396657315,6.90287307032021,7.01497774336933,7.09110703376589,7.13820616677308,7.18412120321085,7.24844051225245
197708,6.18439760715552,6.41157092887681,6.61743204965772,6.76145593152458,6.85104670318789,6.92132340640019,6.99983586005331,7.08152921829507,7.15466594613973,7.21654478391417
197709,6.47290693411116,6.67766025592153,6.78801896283218,6.89620118001808,6.98754670342529,7.04526234969137,7.1052001778014,7.15176768118747,7.19342677156668,7.23868516925608
197710,6.76101959989583,7.00100947295259,7.12215630957968,7.21903906077834,7.25739900020923,7.300362905332,7.3236943121694,7.34527323141923,7.36681475145752,7.39235660582924
197711,6.68644594450295,6.92326274488574,7.03440736733246,7.12661755112889,7.1908318605267,7.22543933847177,7.26054258773904,7.31080825412188,7.35857464428241,7.39787668698401
197712,6.82287339455833,7.04650121878457,7.22309352810812,7.36002626159907,7.44597509844841,7.48077772430077,7.52367167585034,7.58393170739593,7.64372865487619,7.69718476216197
