Time,1 m,2 m,3 m,4 m,5 m,6 m,7 m,8 m,9 m,10 m,11 m,12 m,13 m,14 m,15 m,16 m,17 m,18 m,19 m,20 m,21 m,22 m,23 m,24 m,25 m,26 m,27 m,28 m,29 m,30 m,31 m,32 m,33 m,34 m,35 m,36 m,37 m,38 m,39 m,40 m,41 m,42 m,43 m,44 m,45 m,46 m,47 m,48 m,49 m,50 m,51 m,52 m,53 m,54 m,55 m,56 m,57 m,58 m,59 m,60 m,61 m,62 m,63 m,64 m,65 m,66 m,67 m,68 m,69 m,70 m,71 m,72 m,73 m,74 m,75 m,76 m,77 m,78 m,79 m,80 m,81 m,82 m,83 m,84 m,85 m,86 m,87 m,88 m,89 m,90 m,91 m,92 m,93 m,94 m,95 m,96 m,97 m,98 m,99 m,100 m,101 m,102 m,103 m,104 m,105 m,106 m,107 m,108 m,109 m,110 m,111 m,112 m,113 m,114 m,115 m,116 m,117 m,118 m,119 m,120 m
197108,4.39615892843376,4.4261990942839,4.47634394044508,4.5448733225855,4.62765000155618,4.71858120354756,4.81101773604486,4.89958621116936,4.98096888443452,5.05338350345433,5.11613234330771,5.17003464787937,5.21750000047763,5.26099338786109,5.30144022347358,5.3378960685198,5.36800544402674,5.38968635535059,5.40347404569466,5.41262550003123,5.42103339520419,5.43167555850672,5.44632405612913,5.46568235600117,5.48944544335246,5.51637831553915,5.54463192207259,5.57223921334932,5.5975855431968,5.61971122457653,5.63834091933539,5.65365364788109,5.66598576997296,5.67564884642905,5.68290819924777,5.68810697797489,5.6918837621137,5.69526306725721,5.69932880996826,5.70468639850589,5.71132334078228,5.71892061090697,5.72717236392652,5.73590687495077,5.74507595787737,5.75470227853096,5.76482408105253,5.7754537008351,5.78656081076957,5.79808217267212,5.8099461849551,5.82209497175275,5.83449342120545,5.84712534848662,5.85998341465918,5.87305998740177,5.88634313881598,5.89981793306698,5.91346988089537,5.92728611672315,5.94125073787189,5.95533325207956,5.96947248174708,5.98356192303705,5.99744509710423,6.01092825043427,6.02381084648496,6.03592404758598,6.04716125553281,6.05748869549334,6.06693524895701,6.07557032887901,6.08348073036244,6.09075351166636,6.09746677615791,6.10368686511978,6.10946938599703,6.11486181263873,6.11990618267872,6.12464116361426,6.12910328459922,6.13332742986927,6.13734681613786,6.14119269226734,6.14489395698394,6.14847682671829,6.15196462393666,6.15537770799458,6.15873353874004,6.16204684613911,6.16532987334323,6.16859266185535,6.17184335243655,6.17508848174933,6.17833326099228,6.18158182818135,6.18483746999166,6.18810281218617,6.19137997976564,6.19467072927212,6.19797655636252,6.20129878201516,6.20463862068324,6.20799723347569,6.21137576911018,6.21477539500301,6.21819732047606,6.22164281369682,6.22511321363942,6.22860993806803,6.23213448830379,6.23568845133849,6.23927349970126,6.24289138936326,6.24654395587504,6.25023310886719,6.25396082500252,6.25772913944389,6.2615401358911,6.26539593524199
197109,4.43899476301293,4.53013980288163,4.62338306168663,4.71487348177823,4.80119749787895,4.8799099374449,4.94999788629188,5.01164716446513,5.06550044021142,5.11218624658671,5.15254745686894,5.18815203330096,5.2210860290451,5.2528520492467,5.28346310105118,5.3113709310978,5.33445813744149,5.35185348134607,5.36475972767149,5.37553731376693,5.38658452005423,5.39987954555548,5.41669732458201,5.4372158702796,5.46046836006821,5.48490646962277,5.50907888105652,5.53195835384291,5.55295132515954,5.57177912525907,5.58835250273871,5.60269892390757,5.6149439195314,5.62531260971901,5.63413978444872,5.64190153570184,5.64921972659618,5.65672632960177,5.66483616931916,5.67367277917726,5.68320272958498,5.69339274379809,5.70427626718948,5.71594622375793,5.72851146853387,5.74203809249111,5.75649536539193,5.77172990805781,5.78748058083963,5.80342365392301,5.81922452446178,5.83457842280564,5.84923651435466,5.86302128438851,5.87583390558692,5.88765267949402,5.89852112585072,5.90852734341898,5.91777966983226,5.92638443832606,5.93442958772107,5.94197501971465,5.94904880298417,5.95564802552767,5.96174351957769,5.96728784476067,5.97222543264819,5.97650307082984,5.98007866532636,5.98292682914839,5.98504099018593,5.98643272694061,5.98712946460687,5.98717150336483,5.9866089254628,5.98549856493965,5.98390107087243,5.98187811651449,5.97948988531519,5.97679300236257,5.97383904340202,5.97067366641291,5.96733631667967,5.9638603894769,5.96027370720722,5.95659917437854,5.95285550038678,5.94905791317791,5.94521881738612,5.94134837421847,5.93745499644938,5.9335457615422,5.92962675088814,5.92570332510096,5.92178034549962,5.91786235120461,5.9139537001807,5.91005868136343,5.90618160384653,5.90232686804558,5.89849902280948,5.89470281163123,5.89094321040885,5.88722545861934,5.88355508528429,5.87993793071576,5.87638016472267,5.87288830172068,5.86946921301057,5.86613013635981,5.86287868293113,5.85972284154077,5.8566709801919,5.85373184480994,5.85091455510141,5.84822859746477,5.84568381489613,5.84329039385506,5.84105884808242,5.83899999939377
197110,4.11295233201256,4.19682448961523,4.26959506008008,4.32823651974048,4.37274138918001,4.40590216525688,4.43208606922173,4.45556570649349,4.47946109938055,4.50553422218085,4.53434584751684,4.56552644341238,4.59826838469637,4.63172297964833,4.66487224596326,4.69641894266238,4.72536889843211,4.75172020465503,4.77641344232983,4.80083413219553,4.82646008346023,4.85458929285204,4.8858624150973,4.91979369466233,4.95484671171321,4.98907783876415,5.02086023155932,5.0493285087363,5.07441758295803,5.09653427547351,5.11612471067843,5.13346293123133,5.14878700520931,5.16266115953562,5.17626611264969,5.19120349468893,5.20876307534046,5.22937372685718,5.2527201932963,5.27807278119649,5.30437100443486,5.33021785219834,5.35424131780692,5.37578304487516,5.39514307001092,5.41310506024088,5.43038215548323,5.44741356101518,5.46440242765246,5.48140342731881,5.49838780411914,5.51528567880717,5.53201803299692,5.54852237066056,5.56476832188179,5.58075881563692,5.59651643685752,5.61205849637216,5.62736693170749,5.64236247552565,5.65689643131709,5.6707716510813,5.68379041627684,5.69580733517259,5.70675930912993,5.71666068230594,5.7255741571943,5.73357728911698,5.74073863794279,5.74710756244748,5.75271502983387,5.7575806744792,5.76172172793534,5.76516071006343,5.7679301823129,5.77007413584305,5.77164654281704,5.77270812040836,5.77332244235013,5.77355230362382,5.77345687783847,5.77308985714013,5.77249851565429,5.77172350675918,5.77079916809826,5.76975412916997,5.76861206212213,5.76739246566767,5.76611141406612,5.76478223445036,5.76341609696518,5.76202251533974,5.76060976297347,5.75918521333289,5.75775561486625,5.75632731070599,5.75490641275311,5.75349893869502,5.75211091932023,5.75074848229344,5.74941791741912,5.74812572739797,5.74687866718938,5.74568377434319,5.74454839205209,5.74348018619139,5.74248715724089,5.74157764770757,5.7407603454698,5.74004428332894,5.73943883496728,5.73895370746112,5.73859893047434,5.73838484225371,5.73832207255632,5.73842152265759,5.73869434261174,5.73915190596288,5.73980578213134,5.7406677067257
197111,4.04271714133504,4.13384694358058,4.22058075538645,4.29788093643,4.36386914329278,4.41922551728305,4.46635436740074,4.50811260522875,4.54671407142154,4.58337305682672,4.61856872529269,4.65240783877525,4.68467400586819,4.71471018424312,4.74171332305264,4.76557906338756,4.78755687223491,4.80986201405206,4.83457821869819,4.86298554645142,4.89561012304734,4.93235687054586,4.97229275482647,5.01339334119571,5.0528657994432,5.08822114466236,5.11838863452297,5.14387514250491,5.16597151096664,5.1858741128979,5.2042876938226,5.22150927352825,5.23778864887972,5.25369130398089,5.27012427597627,5.28796003998998,5.30765854215354,5.32915871707842,5.35188614602776,5.37475556176393,5.39636122540807,5.41554278710117,5.43196409229774,5.44610720967211,5.45877543413561,5.47067031428943,5.48226929138392,5.49387619131828,5.50569942241342,5.5179049653432,5.53064302096336,5.54405729055259,5.55828208887656,5.57342920767429,5.58956684590273,5.60669596409914,5.62473265485124,5.6435054110383,5.66277145956379,5.68224820058432,5.70164930148939,5.7207143939437,5.73922617293043,5.75701489288784,5.77395415687232,5.78995268038828,5.80494559107195,5.81888725291139,5.83174635684906,5.84350324362311,5.85414899855381,5.8636856530397,5.87212678232832,5.87949788104559,5.88583609775233,5.89118916252504,5.89561357865022,5.89917231470597,5.90193230210424,5.90396202522383,5.90532941792569,5.90610018737616,5.90633660127604,5.90609671225184,5.90543395629733,5.90439704681079,5.90303008544641,5.90137281944755,5.89946098760541,5.89732671038434,5.894998892283,5.8925036152612,5.88986451070278,5.88710310387391,5.88423912932375,5.88129081841605,5.87827516148182,5.87520814727324,5.8721049817964,5.86898028750542,5.86584828251847,5.86272293819846,5.85961811232314,5.85654765430842,5.85352547866738,5.85056560316404,5.84768214898472,5.84488930167476,5.84220123348236,5.8396319899623,5.83719534601161,5.83490463869409,5.83277258600986,5.8308111019561,5.82903111864137,5.82744242578334,5.82605353666248,5.82487158765032,5.82390227598578,5.82314983779635
197112,3.46810996530723,3.57189337440136,3.67891453603894,3.77865497843296,3.86509346033319,3.93694324018143,3.99683306654717,4.04917728068557,4.09809124473664,4.14648529440481,4.19605736128586,4.24743775465448,4.30022278991927,4.35306267926414,4.40405169799502,4.45156471765366,4.49511331049709,4.53540734850754,4.57369781816469,4.61123050271763,4.64900053366192,4.68743327703284,4.72601936259112,4.76337062000479,4.79791644040349,4.82879339782174,4.85619440789969,4.88101545496946,4.90426848423848,4.92666656487235,4.94847373902679,4.96961014142005,4.98998379672322,5.00982489072299,5.0296752459895,5.05006066209166,5.07118937429364,5.09280760303718,5.11417348309245,5.13424484797402,5.15216855302503,5.16774638279417,5.18141143258108,5.1938222159084,5.20553237024037,5.21690490378775,5.22816189571507,5.23945320547452,5.25090261666525,5.26263107472533,5.27476513383495,5.28743588233065,5.30077029592483,5.31487604696224,5.32982232188131,5.34562198893319,5.36222216396735,5.37950841795627,5.39732243249576,5.41548699529408,5.43382977729633,5.45219946868603,5.47047230693366,5.48855076939265,5.50635780038616,5.52382974321564,5.54091014395546,5.55754553903921,5.5736835374593,5.58927298242009,5.60426566096588,5.61861887188693,5.63229814064944,5.64527947154411,5.65755072260918,5.6691119281271,5.67997461840135,5.69016035045259,5.69969874490465,5.70862532891067,5.71697943534657,5.72480233275676,5.7321356823832,5.73902035298833,5.74549557737026,5.75159840651068,5.75736340486413,5.76282252893812,5.76800513679276,5.77293808500567,5.77764587957436,5.78215085661582,5.78647337671658,5.79063202303338,5.79464379772623,5.79852431419982,5.80228798421228,5.80594819948839,5.80951750733955,5.81300777920412,5.81643037019495,5.81979626685902,5.82311621956409,5.82640085535972,5.82966076692214,5.83290657337314,5.83614894942357,5.83939862045224,5.84266632276073,5.84596273024892,5.84929835097707,5.85268339930286,5.85612765125798,5.85964029230956,5.86322976742704,5.86690364331211,5.87066849171966,5.87452980108738,5.87849192139129,5.88255804451761
197201,3.15976854043286,3.25470824257962,3.35573355192316,3.45584235800263,3.55022828427173,3.63680443841152,3.71627140400744,3.79110711823622,3.86405883477867,3.93726807693478,4.01221270468427,4.08987093023999,4.17057401991467,4.25343720792496,4.3357741789602,4.4133033561021,4.48179041704378,4.53941789303176,4.58770385342247,4.63007752563744,4.66974956993661,4.70852342586255,4.74677542294975,4.78415766228832,4.82049885767396,4.85637416301721,4.89305746786131,4.9319833687282,4.97397584656754,5.0184888570023,5.06336848423562,5.10586419837021,5.14458464604882,5.18041965834225,5.21547153997499,5.25144836411,5.28874024168842,5.32616224937545,5.36137497293812,5.39215246047395,5.41771185803964,5.43883649796144,5.45693842765657,5.47321788489569,5.48841740864449,5.50293337416424,5.51698695757824,5.5307359271088,5.54432199306025,5.55787936829486,5.57152637565893,5.58535209150437,5.59940373985816,5.61367848543502,5.62812295671379,5.64264258897406,5.65711967490059,5.67143526614461,5.68548840134416,5.69920776699897,5.71255449416025,5.72551794965721,5.73810772025765,5.75034470555086,5.76225323761649,5.77385516237204,5.78516613326912,5.79619397202901,5.80693874299087,5.81739408579896,5.82754931565456,5.83739181894655,5.84690934038914,5.85609186599121,5.86493293503286,5.87343033934674,5.88158626804497,5.88940701824098,5.89690241644504,5.90408508899243,5.91096969480221,5.91757220119786,5.92390925170808,5.92999764840208,5.93585395212544,5.94149419178165,5.94693366735178,5.9521868291394,5.9572672163144,5.9621874399987,5.96695919897968,5.97159331903095,5.97609980938505,5.98048793194529,5.98476628028398,5.98894286637743,5.99302521344677,5.99702045330415,6.00093542634652,6.00477678189241,6.00855107601678,6.01226486349682,6.01592478002968,6.01953761061191,6.02311033996709,6.0266501812452,6.03016457994576,6.033661191147,6.0371478296185,6.04063239415868,6.04412276938124,6.04762670998279,6.05115171404614,6.05470489297122,6.0582928460288,6.06192154722632,6.06559625117984,6.06932142311358,6.07310069614516,6.07693685689236
197202,3.17129332962791,3.29072601769321,3.40746021494443,3.51805899518908,3.6203376588901,3.7143102516983,3.80223900549092,3.88692503559323,3.96966558982665,4.04934654426467,4.12275753700782,4.18678210590787,4.24182259614016,4.29089402698036,4.33573405820423,4.37668935554997,4.41477755362547,4.45266835379147,4.49350984791165,4.53882986403095,4.58775016615284,4.63780428832615,4.68644746446758,4.73248737287442,4.77643764101423,4.81955595117824,4.86270745060108,4.90588134169344,4.94825718309148,4.98860514972072,5.02599476631122,5.06054072337794,5.09349989071193,5.12649440382556,5.16053623164034,5.19546593901025,5.22993528678517,5.26204526418953,5.29048925487063,5.31529992136813,5.33751903087138,5.35832820756698,5.37848421073835,5.39823983591534,5.41751457449087,5.4361043987311,5.45383784348834,5.47065348075989,5.48660769097369,5.50183965243453,5.51652260135803,5.53082018440788,5.54485458830062,5.55868725637756,5.57231429793223,5.58568122174747,5.59871679929605,5.61137278176448,5.6236483377659,5.63558801844132,5.647260846234,5.65873667511521,5.67007055453527,5.68129681909944,5.69242980562435,5.70346763144428,5.71439672144958,5.7251960021841,5.73584041048151,5.74630368381303,5.75656049804372,5.7665880284263,5.77636699960113,5.78588228597841,5.79512312855918,5.80408304243349,5.81275949446486,5.82115342949146,5.82926871554386,5.83711156602531,5.84468998212912,5.85201324427019,5.85909146856184,5.86593523421403,5.87255528041416,5.87896226660699,5.88516658769217,5.89117823495555,5.89700669397772,5.90266087181418,5.90814904701969,5.91347883732586,5.91865718082621,5.92369032732553,5.92858383708639,5.93334258460728,5.9379707653633,5.94247190369706,5.94684886032037,5.95110383821975,5.95523838617932,5.95925339966045,5.96314911941243,5.96692512892316,5.97058035262602,5.97411305761307,5.97752086239236,5.98080075687509,5.98394913816679,5.98696186674015,5.98983434706276,5.99256163565311,5.995138577816,5.99755997202481,5.99982075824482,6.00191622370226,6.00384221705547,6.00559536000198,6.00717324439987,6.00857460322287
197203,3.48768684132825,3.68508723703107,3.87419370098221,4.04746439346134,4.20023085353195,4.33241774866131,4.4480014656023,4.55182712535203,4.64671221730177,4.73295115448644,4.81027085615518,4.88091501290377,4.94938387761756,5.01812086309496,5.08607917219887,5.15069424563522,5.21019258510129,5.26495286956914,5.31635505858774,5.36450668524142,5.40766167087681,5.44359064636854,5.47158555026727,5.4932237299725,5.5112903396088,5.52834725828059,5.54611840094794,5.56553577718566,5.58695342744665,5.61030678120459,5.63521043993748,5.66101016008242,5.68682917637519,5.71172113330153,5.73494033995318,5.7561418490837,5.775329365084,5.79258583761037,5.80782292988922,5.8208177992127,5.83156039273574,5.84050506604758,5.84838896217036,5.85587564036311,5.86338666536663,5.87112625655529,5.87915741057216,5.88745655522786,5.89594145848678,5.90448741432457,5.91294470497878,5.92116234265116,5.92901463121136,5.93642206813389,5.94335950490427,5.94985078703937,5.95595495212381,5.96175057150619,5.96732248557144,5.97275186515502,5.97810840189621,5.98344312571737,5.98878159825102,5.99411924223964,5.99942189730095,6.00463369402041,6.00969081499054,6.01453609718173,6.01912892360627,6.02344790336148,6.02748769638594,6.03125324895822,6.03475429473584,6.03800153952415,6.04100470412299,6.04377197096271,6.04631024576855,6.04862575406799,6.05072466372993,6.05261357429148,6.05429981760245,6.05579157534283,6.05709784846466,6.05822832293463,6.05919317420416,6.06000284566114,6.06066782758965,6.06119845481889,6.06160473412954,6.06189620684174,6.06208184777928,6.06216999881623,6.06216833325966,6.06208384620106,6.06192286548841,6.06169107795864,6.06139356588019,6.06103484906636,6.0606189287425,6.06014932992222,6.0596291397343,6.05906103982834,6.05844733167329,6.0577899542564,6.0570904943966,6.05635019060568,6.05556993214688,6.05475025562052,6.05389134199648,6.05299301744314,6.05205476149275,6.05107572595654,6.05005476750569,6.04899049594747,6.0478813389873,6.04672562277477,6.0455216659393,6.04426788332248,6.04296289441078,6.0416056307375
197204,3.37800555452131,3.4820032629159,3.59863814480205,3.71837742381649,3.83449166226018,3.94382073834979,4.04579834025371,4.14054448253183,4.22753540021553,4.30573599573633,4.37460606793943,4.43459729250335,4.48686089396052,4.53316224204717,4.5762398102514,4.61984246812219,4.6677479241484,4.72201141895769,4.78168220101126,4.8431742557081,4.90230733012289,4.95659199874187,5.00600315203986,5.05203014231908,5.09629267280713,5.1396925847573,5.18219942687193,5.22315105539343,5.2619331616413,5.29857234420195,5.33364688803575,5.36763229341938,5.40046913813363,5.43172875382095,5.46101714507859,5.48815324976652,5.51303246280887,5.5354349649674,5.55509216037616,5.5720097667573,5.58664496137201,5.59968672194601,5.61171179930972,5.62303489454104,5.63375609628638,5.64387070929861,5.65335607026336,5.66221537216216,5.67048929095822,5.67825353386526,5.68561589508663,5.69271623649486,5.69972242148322,5.70681143238966,5.71413389326849,5.72177791239381,5.72975569153647,5.73802109842699,5.74650382795587,5.75513940551963,5.76388461570615,5.77271966651625,5.78164295499972,5.7906634160178,5.79979317437864,5.80904159010246,5.81841100651519,5.82789422233444,5.83747359402418,5.84712158294007,5.85680246288809,5.8664748204779,5.87609444242722,5.8856172040093,5.89500164409126,5.90421101410101,5.91321469670829,5.92198898540934,5.93051728715165,5.93878985333939,5.94680316266964,5.95455907809655,5.96206388650487,5.969327309435,5.97636155107994,5.9831804288457,5.98979861373482,5.99623099334701,6.00249215939388,6.00859601392662,6.01455548345534,6.02038232725218,6.02608702487864,6.03167872793178,6.03716526180889,6.04255316465677,6.04784775236908,6.05305320034213,6.05817263455839,6.06320822633647,6.06816128669693,6.07303235770057,6.07782129929628,6.08252737116017,6.08714930972026,6.09168540105138,6.09613355061184,6.10049135089607,6.10475614802268,6.1089251080914,6.11299528385653,6.11696368191108,6.12082733018882,6.12458334520597,6.12822899811246,6.1317617783367,6.13517945341057,6.13848012347305,6.14166226897812,6.14472479027683
197205,3.58831943065531,3.68402882538659,3.78822796563622,3.892927238488,3.99300387305771,4.086285867332,4.17250227244053,4.25189297507633,4.32434311371725,4.38934049971049,4.44646476103658,4.49603878320147,4.53950829333015,4.57915623247497,4.61733764130694,4.6557391079777,4.69490019631369,4.7341287571009,4.77201570231265,4.80745810094501,4.84051552357916,4.87243897019549,4.90501118079336,4.93979193462828,4.97757844683984,5.01811967315243,5.06018272274466,5.10209926183022,5.14255331808004,5.18096561811342,5.21722286109105,5.25126948115013,5.28303106810614,5.31254647783255,5.3399803812655,5.36543197082208,5.38874159917562,5.40958059704187,5.42784483813011,5.44392263511959,5.45851799906781,5.47230123393503,5.48573395403152,5.49907839901837,5.51246431791063,5.52594420278342,5.53952862127424,5.5532118933827,5.5669941257333,5.58089710082038,5.59496743866797,5.60926174618592,5.62381229883535,5.63857781358325,5.65339589181608,5.66797064225858,5.68193096405093,5.69495430512673,5.70688604577339,5.71777381590153,5.72780683697823,5.73722008581341,5.74622257513239,5.75496744241909,5.76355191617102,5.77202997863719,5.78042669902737,5.78874975790004,5.7969973940478,5.80516342349994,5.813240235386,5.82122050293479,5.82909810686322,5.83686857508103,5.8445292183405,5.85207907161035,5.859518714374,5.86685002304243,5.87407589535107,5.88119997560042,5.88822639978667,5.89515957129346,5.90200397132645,5.90876400382689,5.91544387200784,5.92204748249717,5.9285783728625,5.93503965860388,5.94143399621506,5.94776355944023,5.95403002630105,5.96023457481997,5.96637788563904,5.97246014996416,5.978481081483,5.98443993113442,5.99033550385594,5.99616617670499,6.0019299180277,6.00762430762489,6.01324655812064,6.01879353795982,6.02426179663221,6.02964759282978,6.03494692628152,6.04015557397065,6.04526913131973,6.0502830587341,6.05519273362929,6.05999350774753,6.06468076921028,6.06925000838079,6.07369688624947,6.07801730373461,6.0822074700395,6.08626396804968,6.09018381471023,6.09396451440397,6.09760410355734,6.10110118502232
