Time,F1,F2,F3,F4,F5,F6,F7,F8,F1^3
197108,0.010258908871883,-0.113748091153906,-0.285471048886723,-0.276858649163207,-0.227058325499424,0.0824565522874562,-0.0859881151124816,0.00731616661620269,1.079701031329648e-06
197109,-0.424583844308893,-0.114576767736531,0.127999918742663,-0.480840301639526,0.131766385939722,0.0803897804175732,-0.125917545299812,0.0190078987804956,-0.07654034137439727
197110,-0.224600024411404,0.0640705601268752,-0.048889543036001,-0.336337907440482,0.0213630604425604,0.197997431314946,-0.303851701923995,0.0969770912334853,-0.011329986630311943
197111,-0.202752988662118,-0.0960843862150529,-0.0992034605254194,-0.335770895770947,-0.00217066779403638,0.157984846762622,-0.284287093468728,-0.175773228095814,-0.008334926872152398
197112,-0.437127282201436,0.164227347719197,-0.0370826431338393,-0.401366800015246,-0.171908060821973,0.157588863867082,0.000719874941783194,0.129535554751823,-0.08352639510543494
197201,-0.736372664827338,-0.00471901503503312,0.276459010165901,-0.531335189355722,-0.0395281893430715,0.0981265535322368,-0.204351904819144,-0.0505916961918922,-0.3992941758356788
197202,-0.471571735796677,0.0930949775495823,0.0129840166253962,-0.217254505517796,-0.254544170054224,0.171453307569905,-0.100156466290901,0.0987820691359563,-0.10486807639351527
197203,-0.551789109865726,-0.2610896193939,0.137245406628714,-0.182554054090904,-0.188940800208354,0.232949293980183,0.140634622021585,-0.102640094539154,-0.1680039044382176
197204,-0.513397667850262,-0.0220225563335361,-0.0283428082663397,-0.0750003233842629,-0.176488103218934,0.216836707046867,-0.0901813844068974,0.0600024557721766,-0.13531990199137162
197205,-0.351683002633232,-0.106884046436944,-0.164191606975359,-0.218203371089699,-0.292629595971235,-0.0194875947198615,-0.0563953715232655,-0.0814016536210977,-0.043496482357570754
197206,-0.350657156550815,-0.216901553806344,-0.0865826162020472,-0.190565876000313,-0.251083682279918,0.139998657762385,0.0412080420502963,-0.103328431869806,-0.04311695876368956
197207,-0.0937390632869297,-0.0581480672369953,-0.166108363160626,-0.127140185316958,-0.272606464084057,0.239345808449785,-0.154886664613864,0.0712135043868785,-0.0008236862726503221
197208,-0.760761847948038,-0.113134007462815,0.0440330013678838,-0.292104013688889,0.016337382084879,0.0776173264523678,0.0231570342692961,0.065847453740118,-0.4402974539065809
197209,-0.581834403426733,0.00871929055838016,-0.20328276474569,0.00741684347620085,-0.253999261315173,0.215701085486427,-0.0845185395381593,0.170818643461291,-0.19696914127361406
197210,-0.751586593909607,-0.365760733669712,0.162031094021486,-0.263929985764652,-0.032619817170973,0.0659427196328424,-0.0999195599479384,-0.0325672638827505,-0.4245580450968898
197211,-0.75676883848937,0.0843364410854643,-0.142067029932016,-0.25959140716055,-0.219793052531068,-0.0711485258997869,0.102667288522065,-0.0279017339543381,-0.4334008137224803
197212,-0.784469516611655,-0.17075933306729,-0.065421638782726,-0.181652019715775,-0.167937178984043,-2.54979192727876e-05,0.0151982930494025,0.103601488398544,-0.4827565961994991
197301,-0.737292874753374,-0.236578387403677,-0.239888762600328,-0.0506933630158325,-0.311025024849518,-0.0601203220433038,-0.00231860211873287,0.149496900191383,-0.40079298413576614
197302,-0.921817371635604,-0.106854018976052,-0.431961831421773,-0.0829815558037379,-0.040142615553573,-0.143539431808823,-0.173822171491489,0.226674291519945,-0.7833117918970796
197303,-0.555354001713297,-0.181739628679688,-0.543762568560214,0.0212216304207669,-0.21153875422497,-0.0841306249256732,-0.0302792700041297,0.317836293209188,-0.17128120783073705
197304,-0.235304470032568,-0.564948425503223,-0.272307111380471,-0.0346521006236885,-0.201106814537711,-0.166524857478653,-0.0108128809345329,0.123223673132452,-0.013028383455781199
197305,-0.426375853428594,-0.363387481087637,-0.380042931754144,-0.0753086720687139,0.0422829991763014,-0.0977306464383797,-0.104085585261884,0.149731961379906,-0.07751358172120995
197306,-0.444247696463063,-0.363453101411119,-0.560045181356589,0.0499216759482791,-0.0579669434491677,-0.115955594347524,0.0436566910231721,0.180509407803233,-0.08767495540793659
197307,-0.319928800466288,-0.760371905308149,-0.367471154999014,0.12035145721762,0.33465650572621,0.149791831538665,0.297391292962124,0.388354157640101,-0.0327461323694814
197308,-0.323241176598793,0.495844739004138,-1.43066687355174,0.39481098510585,-0.14379018415583,-0.0827194405756354,-0.146890945418761,-0.0981925897430998,-0.03377380851715583
197309,-0.224766451375638,-1.12556792476727,0.160217142772102,-0.368376206585115,0.682382099023276,-0.100987722326527,0.211804973930877,0.281266817636454,-0.01135519160778408
197310,-0.403058841011904,0.0397170677364503,-0.534620165801326,-0.447496195617089,0.442463722085468,-0.565588430248887,-0.0460807712884834,-0.0463840258397386,-0.06547950011578867
197311,-0.431289024666911,-0.30170200840146,-0.67990974082087,0.207042397659451,0.336478945322443,-0.240181839451803,-0.205453563239822,-0.139453778869664,-0.08022416756868261
197312,0.0841765618196844,-0.568448941414919,-0.659353553896091,0.136891620485953,0.123172315596684,-0.495633091976644,-0.241058381850765,0.0600521913875813,0.0005964493219704259
197401,0.0380587017369668,-0.156663999640643,-0.826176287560021,0.18679554941507,0.139715956760191,-0.193635546650464,0.152012061619257,-0.19861773780765,5.512668895872735e-05
197402,0.0684304169169672,-0.257048242832627,-0.59830827475033,-0.257977588628175,0.188939695823617,-0.338183808653048,-0.134178237390959,0.212572776617612,0.00032044061599002913
197403,-0.192878134859264,-0.252250108029469,-0.451986233707294,0.170533227383596,0.186362975741087,0.0291629376063424,0.277491498712689,0.390292363846527,-0.007175447533102493
