Time,24 m,60 m,120 m
197108,5.46568235600117,5.92728611672315,6.26539593524199
197109,5.4372158702796,5.92638443832606,5.83899999939377
197110,4.91979369466233,5.64236247552565,5.7406677067257
197111,5.01339334119571,5.68224820058432,5.82314983779635
197112,4.76337062000479,5.41548699529408,5.88255804451761
197201,4.78415766228832,5.69920776699897,6.07693685689236
197202,4.73248737287442,5.63558801844132,6.00857460322287
197203,5.4932237299725,5.97275186515502,6.0416056307375
197204,5.05203014231908,5.75513940551963,6.14472479027683
197205,4.93979193462828,5.71777381590153,6.10110118502232
197206,5.42430503056673,5.92242412654173,5.99778665750614
197207,5.20522053545287,5.91195011621876,6.15983876731055
197208,5.60492206817045,6.12942902960408,6.32726124900121
197209,5.76375999669289,6.0870226174203,6.45972262469724
197210,5.73492507860116,6.10620561129748,6.33001522844797
197211,5.59932211256736,6.00724120051266,6.22711718792483
197212,5.83680564941318,6.10983043771245,6.27524304242173
197301,6.20413155915353,6.32561266999148,6.39083733213344
197302,6.52559243849472,6.59356030957204,6.40657440985178
197303,6.80913471175992,6.65051609417762,6.49028245386526
197304,6.63682624677765,6.58181111696927,6.56678467544658
197305,6.77072396490294,6.60880287551009,6.74983578950076
197306,6.98125881929326,6.73665148871739,6.74748773087574
197307,7.95634665688681,7.61969867589758,7.07839933244802
197308,7.63060156847649,7.06059221651419,6.88768959897496
197309,6.79460176771309,6.58476754012677,6.68919671962861
197310,6.67862792443292,6.63886357166023,6.5606139654521
197311,6.70087067570919,6.6256324028705,6.57706178796548
197312,6.73816432254713,6.65928985106773,6.71885701063584
197401,6.67783643346256,6.77973914504448,6.87629769040242
197402,6.78912779502447,6.80805026225349,6.84822482154652
197403,7.68923923751752,7.49459511141641,7.01663868089594
197404,8.22401190688366,7.97282334790495,7.37709844937717
197405,8.00397751655192,7.84059806746934,7.2703360469178
197406,8.18060536235137,8.07942761445483,7.35120084098722
197407,8.38798903674545,8.22954864629556,7.37420562443381
197408,8.75126393186836,8.37489408030429,7.69017536532483
197409,7.92238663829447,7.85886784511473,7.50525696818106
197410,7.6481766618018,7.7545636414073,7.15894563636175
197411,7.22094658858712,7.39172082997255,7.00123258269433
197412,7.14646181741854,7.11010486635718,6.82698349576406
197501,6.61537999110871,7.14912697397663,6.73185251462472
197502,6.2170106889406,6.91676803582881,6.61870928536582
197503,6.68043672889656,7.26562992870942,6.714638189397
197504,7.4152217890427,7.79633866601046,6.92152355511196
197505,6.74466081727718,7.33454644334196,7.4983838914882
197506,7.08654019762344,7.46849663518589,7.42784088288194
197507,7.52225550254355,7.68957273390834,7.53036716956111
197508,7.60563417225125,7.81338941751429,7.71346589993861
197509,7.91918342906728,8.03303579848774,8.03380658152673
197510,6.88843876739723,7.46683234507251,7.79115291920779
197511,7.14129650662195,7.60167879140409,7.80004177811108
197512,6.63658268761442,7.30538474343948,7.49286068288307
197601,6.32056228392624,7.32351911049148,7.33297302380079
197602,6.65108625585052,7.28571897069029,7.34569032948886
197603,6.59082802076844,7.24202495900582,7.31985048175123
197604,6.52787629845971,7.19524995442862,7.41477468971843
197605,7.17452653758284,7.54766884240856,7.63663836067049
197606,6.85809108764192,7.39390710622795,7.55446128952219
197607,6.63696047839478,7.32405361834186,7.55235560777759
197608,6.43689204002658,7.14447079023609,7.52006684126472
197609,6.22181939253539,6.98989837129333,7.36824306449803
197610,5.97631054329015,6.72890278956004,7.26378364249294
197611,5.36765393389991,6.09371101096792,6.97910362748875
197612,5.31310394272611,6.14468656612375,6.66068696219113
197701,6.08489401756217,6.86454962050427,7.06643840272462
197702,6.01795897410431,6.93754421672472,7.11423894650059
197703,5.93608321138959,6.87264299662095,7.13367771568079
197704,6.01046683001212,6.83992705072593,7.1870711243335
197705,6.07862815878361,6.79921080533878,7.13170560312384
197706,5.96910763697954,6.61352637865559,7.14433653526922
197707,6.37622547853743,6.90287307032021,7.24844051225245
197708,6.41157092887681,6.85104670318789,7.21654478391417
197709,6.67766025592153,6.98754670342529,7.23868516925608
197710,7.00100947295259,7.25739900020923,7.39235660582924
197711,6.92326274488574,7.1908318605267,7.39787668698401
197712,7.04650121878457,7.44597509844841,7.69718476216197
197801,7.28316440013772,7.58930024498252,7.79861064516998
197802,7.37751782972191,7.71676880243268,7.89418468986856
197803,7.50830125108802,7.79762150029318,7.96906306904188
197804,7.66618538594028,7.8567896603928,8.05444853777089
197805,7.93267746740231,8.0947248483762,8.24949730704157
197806,8.26836173355637,8.30631206137982,8.42532700664023
197807,8.21631517726285,8.24833915222707,8.34317323170178
197808,8.21317917360691,8.2021317421206,8.17474362775828
197809,8.43079738911892,8.27368234137864,8.33438766132239
197810,9.14817048221963,8.75416771878222,8.64246715342137
197811,9.29821439825487,8.60295997945618,8.56628713463998
197812,9.75757603552664,9.00109976039447,8.82722828314742
197901,9.37743955171339,8.69016296051177,8.67023025525328
