Time,xr_2,xr_3,xr_5,xr_7,xr_10
202204,1.1291,1.6978,1.9872,1.9145,1.4212
202205,0.8863,1.4125,1.7131,1.629,1.1587
202206,0.4171,0.5654,0.4887,0.0682,-0.7848
202207,0.1499,0.0082,-0.5544,-1.2115,-2.2668
202208,-1.151034796,-2.212015425,-4.409164667,-6.130121331,-7.408855421
202209,0.00972452702,-1.071516309,-3.262157412,-4.712650781,-5.647640621
202210,0.374027372,-1.362983884,-4.187858832,-5.965180685,-6.530529287
202211,-0.0502938558,-1.98211739,-4.242375048,-5.690069948,-5.972227681
202212,-0.330133169,-0.422292004,-0.539685371,-0.601609686,-0.623487664
202301,-0.326807045,-1.540644288,-2.916399401,-3.644752215,-3.804705231
202302,0.321939696,-1.22830094,-2.297995253,-2.877252874,-3.116894618
202303,-5.685206966,-3.00045205,-3.618321691,-4.507778708,-6.038234555
202304,-3.048024637,-7.07260586,-8.447912651,-8.496349932,-7.463557284
202305,-1.129038355,-4.366764672,-6.082116938,-6.361432671,-5.929345888
202306,-4.192076084,-3.413433258,-2.789693893,-3.095539303,-3.885740548
202307,0.228602788,-0.204694858,-0.8199019,-1.019458648,-1.243524745
202308,0.647008381,0.618866535,0.750196131,0.843114299,0.958474785
202309,1.306576568,1.598979169,3.350061139,4.696317598,6.209544625
202310,0.211883356,1.077667259,2.764615735,3.879268575,4.712719118
202311,-0.393366351,0.00587707745,0.337332692,0.506902306,0.58723677
202312,0.684333452,-1.737849812,-3.731454098,-4.575336647,-5.609098477
