Time,xr_2,xr_3,xr_4,xr_5,xr_6,xr_7,xr_8,xr_9,xr_10
197712,0.1754,0.2497,0.2223,0.0698,-0.13,-0.3915,-0.6843,-0.806,-0.9031
197801,0.1667,0.1825,0.1061,-0.121,-0.3384,-0.627,-0.9679,-1.1299,-1.2568
197802,0.2049,0.2567,0.1746,-0.0247,-0.2706,-0.534,-0.8961,-1.0937,-1.2562
197803,0.2046,0.1979,0.0837,-0.1249,-0.3704,-0.6494,-1.0283,-1.2431,-1.4332
197804,0.2044,0.1468,-0.0115,-0.2942,-0.5242,-0.8299,-1.2133,-1.4294,-1.6253
197805,0.0803,-0.058,-0.2708,-0.5443,-0.8565,-1.2355,-1.604,-1.8138,-2.0322
197806,0.0161,-0.1705,-0.467,-0.8405,-1.2321,-1.6507,-2.0134,-2.2227,-2.4514
197807,-0.0315,-0.2483,-0.5931,-0.9398,-1.3206,-1.7585,-2.1589,-2.3874,-2.6236
197808,-0.1484,-0.4704,-0.7917,-1.1917,-1.6496,-2.1601,-2.5783,-2.8198,-3.0715
197809,-0.3475,-0.8431,-1.2442,-1.6997,-2.1907,-2.7286,-3.0882,-3.2792,-3.502
197810,-0.5123,-1.0334,-1.5449,-2.3036,-2.9932,-3.6474,-3.9958,-4.1614,-4.3854
197811,-0.6426,-1.5018,-2.1877,-2.9344,-3.6449,-4.328,-4.6294,-4.7349,-4.9325
197812,-0.6981,-1.5451,-2.3291,-3.1083,-3.9189,-4.6804,-4.9885,-5.0871,-5.2831
197901,-0.6838,-1.6071,-2.323,-3.0014,-3.6914,-4.3889,-4.6894,-4.7811,-4.9707
197902,-0.6493,-1.5815,-2.1243,-2.7829,-3.5366,-4.2125,-4.537,-4.6888,-4.9198
197903,-0.5668,-1.453,-2.0084,-2.6485,-3.3793,-4.0903,-4.465,-4.5631,-4.7395
197904,-0.5851,-1.4567,-2.0634,-2.7997,-3.5164,-4.1405,-4.4763,-4.5427,-4.7232
197905,-0.6583,-1.5537,-2.1107,-2.8152,-3.5157,-4.1207,-4.4089,-4.4658,-4.6387
197906,-0.6741,-1.3637,-1.8178,-2.4653,-3.0561,-3.5195,-3.819,-3.9814,-4.1975
197907,-0.7835,-1.551,-2.0673,-2.7377,-3.3268,-3.8477,-4.1639,-4.3254,-4.5548
197908,-0.9254,-1.7714,-2.4261,-3.1313,-3.8372,-4.4998,-4.8413,-4.9951,-5.2312
197909,-1.1367,-2.1313,-2.9261,-3.6875,-4.4509,-5.1603,-5.4434,-5.4925,-5.6696
197910,-1.3565,-2.548,-3.5723,-4.7309,-5.685,-6.5787,-6.9603,-7.0752,-7.3268
197911,-1.162,-2.5695,-3.3547,-4.1946,-4.7526,-5.5034,-5.9482,-6.1965,-6.521
197912,-1.22,-2.5567,-3.5632,-4.4488,-5.0427,-5.9384,-6.4362,-6.6468,-6.9106
198001,-1.2698,-2.672,-3.401,-4.1204,-4.7922,-5.5681,-6.0539,-6.3423,-6.6603
198002,-1.3261,-3.6161,-5.0912,-6.8451,-8.3797,-9.9045,-10.4495,-10.8051,-11.3938
198003,-2.3352,-5.5787,-8.0318,-9.7369,-11.2859,-13.0734,-13.8025,-14.173,-14.6605
198004,-1.3388,-2.4225,-3.439,-4.2597,-4.4985,-4.9671,-5.4438,-5.7869,-6.1478
198005,-0.3212,-0.4834,-0.6494,-0.8017,-0.7646,-0.8674,-1.2054,-1.467,-1.6813
198006,-0.0419,-0.0948,-0.4106,-0.6021,-0.6933,-0.9321,-1.2689,-1.576,-1.8066
198007,-0.0577,-0.0869,-0.2988,-0.5756,-0.8217,-1.1285,-1.3622,-1.5546,-1.7214
198008,-0.4251,-1.0715,-1.3986,-1.7529,-2.5016,-3.6524,-4.7917,-5.6672,-6.3237
198009,-0.8937,-2.001,-3.0186,-3.7738,-4.6052,-5.5867,-6.3985,-6.9896,-7.4337
198010,-1.328,-2.7368,-3.8652,-5.1699,-6.112,-7.1833,-7.998,-8.5819,-9.1453
198011,-2.0695,-4.2768,-5.5972,-7.3288,-9.1329,-11.0335,-12.251,-13.1312,-13.8731
198012,-2.1382,-3.7973,-4.8937,-6.3109,-7.5228,-8.7314,-9.7485,-10.653,-11.4157
198101,-2.422,-4.3308,-5.8531,-7.1837,-8.1211,-9.2042,-10.0642,-10.7913,-11.5956
198102,-1.6582,-2.6959,-3.6835,-4.883,-5.8303,-7.0515,-8.0653,-8.8459,-9.6089
198103,-0.7303,-1.247,-1.6558,-2.5319,-3.2536,-4.1244,-5.1202,-5.9669,-6.6067
198104,-1.3606,-2.6542,-3.6685,-5.193,-6.0205,-7.1335,-8.3246,-9.408,-10.346
198105,-1.5978,-3.4498,-4.7917,-6.419,-8.0431,-9.5229,-10.6245,-11.5589,-12.3715
198106,-1.2443,-2.7156,-3.731,-4.9908,-6.2186,-7.339,-8.3772,-9.4037,-10.4373
198107,-1.528,-2.9847,-4.5058,-6.2957,-7.5413,-8.9126,-9.8257,-10.5974,-11.4872
198108,-1.2981,-2.9291,-4.278,-6.0421,-7.4085,-8.6015,-9.7462,-10.9422,-12.254
198109,-0.755,-1.8768,-2.893,-4.4597,-5.8235,-6.9573,-7.8681,-8.5799,-9.3002
198110,-0.8427,-1.9064,-2.4801,-3.4379,-3.3584,-4.2519,-5.6082,-6.6543,-7.7898
198111,-0.3047,-0.5288,-0.4189,-1.1772,-1.7403,-1.9315,-2.5683,-2.9011,-3.3285
198112,-0.6106,-1.2496,-1.6307,-2.5071,-3.394,-4.1716,-5.0115,-5.526,-6.0783
198201,-0.8647,-1.7018,-2.4535,-3.763,-4.3506,-5.1021,-5.9048,-6.4898,-7.3298
198202,-0.7904,-1.7451,-2.6115,-3.6064,-4.6032,-5.5962,-6.5662,-7.2651,-8.0012
198203,-0.8997,-1.7671,-2.558,-3.8136,-4.5863,-5.6293,-6.5961,-7.3671,-8.8172
198204,-0.7578,-1.5978,-2.5545,-3.7685,-4.2033,-5.0461,-6.1502,-6.7988,-7.877
198205,-0.4068,-0.9533,-1.4774,-2.4159,-3.0343,-3.7441,-4.6621,-4.9713,-6.1009
198206,-0.7744,-1.5681,-2.4713,-3.8713,-4.3513,-5.4746,-6.5902,-7.0723,-8.8729
198207,-0.4771,-0.7384,-1.4645,-2.5346,-2.3705,-3.0563,-3.7691,-4.2238,-5.7464
198208,-0.1549,-0.179,-0.4369,-1.0133,-0.9612,-2.0668,-2.7231,-2.5631,-3.958
198209,0.0977,0.174,0.142,-0.8379,-0.6265,-1.6161,-2.3507,-2.2305,-3.5822
198210,-0.0718,0.0087,-0.149,-0.8711,-0.321,-1.3889,-1.9754,-1.929,-3.7281
198211,-0.0882,-0.0629,0.1212,-0.3421,-0.0329,-0.7824,-1.0517,-1.0448,-2.9867
198212,0.0543,0.262,0.4366,0.1195,0.4483,-0.2165,-0.378,-0.4577,-2.3706
198301,0.1125,0.3476,0.4381,0.3309,0.8432,0.4704,0.5511,0.3366,-1.4083
198302,0.1723,0.3318,0.5288,0.3005,0.4412,-0.0447,0.1184,-0.0198,-1.7232
198303,0.0281,0.0253,0.138,-0.1331,-0.1532,-0.7331,-0.5936,-0.9772,-2.5634
198304,0.1473,0.2469,0.4308,0.336,0.3329,-0.1079,0.0876,-0.4321,-2.0463
198305,0.243,0.3587,0.5635,0.3272,0.4323,0.0304,0.1451,-0.517,-1.7732
198306,0.1708,0.2659,0.4385,0.1434,0.1283,-0.3057,-0.124,-0.9305,-2.1906
198307,0.2873,0.4696,0.8155,0.4988,0.3454,0.1257,0.2603,-0.6268,-1.6816
198308,0.3298,0.6435,0.8434,0.6963,0.6063,0.443,0.314,-0.5952,-1.7719
