Time,RV_5,RV_10,RV_20
198107,0.16673677928554995,0.25216036585153917,0.29261178443465274
198108,0.2437436720832456,0.2672253195108318,0.5035143273203253
198109,0.2235619757543156,0.2954616050874494,0.4581579469748845
198110,0.2862136078732003,0.37256072317905,0.4531431457704157
198111,0.3772604561217885,0.33946747758664586,0.46192942911189916
198112,0.2565981839051896,0.19865410267524686,0.3435741368673722
198201,0.21876507101035386,0.2718339272501797,0.30672318095773776
198202,0.2799619282490193,0.20886525803185452,0.3617457779389785
198203,0.17004056751270494,0.1431396176812808,0.231601902057172
198204,0.11431571600365047,0.17817427101127642,0.21273943291221759
198205,0.16561814603868996,0.15635989904153094,0.16565349451077044
198206,0.18039581427530219,0.22079322016306144,0.23384701163493865
198207,0.27281772652277736,0.18839049114465162,0.2594403351695609
198208,0.2777856974119742,0.2504051639699876,0.3155266659947796
198209,0.14863956148283386,0.17618121232906822,0.22935471977623603
198210,0.3130448265750569,0.27284592035468036,0.1972715491631226
198211,0.14752558545094918,0.1296423760261595,0.16960299590770486
198212,0.12820144204735093,0.1287677064092925,0.16315865236282254
198301,0.12308656156224343,0.09610725250347626,0.1547677612002827
198302,0.17407787763142332,0.12488080271136161,0.1381511872613334
198303,0.07802388005122826,0.08508374662015594,0.22705360758775175
198304,0.08418337937220147,0.08988589444875573,0.09215572853842058
198305,0.09066362162914161,0.10915071722966535,0.22061109689652694
198306,0.08892235022212923,0.10910791088337496,0.15461499240418017
198307,0.14257308292122106,0.17646808970847885,0.20540883343620395
198308,0.1387762992529276,0.1486210595767362,0.19209864675962043
198309,0.1260406472365683,0.12830724067601043,0.16232101099232513
198310,0.12114641285967473,0.12634886542227197,0.16976242836283872
198311,0.0626547235467956,0.07784598655366541,0.14801689903931778
198312,0.06694872400589519,0.06152554803499897,0.11146557214313962
198401,0.07416794508243293,0.07161598157681248,0.1270404031122267
198402,0.06058668069841342,0.06497849011376862,0.1223227097499679
198403,0.07516340608272513,0.07189862339864247,0.13850018928807298
198404,0.08664140925333767,0.0996867963494364,0.16546318729426865
198405,0.14864647800254546,0.15556201685541032,0.1997415916311684
198406,0.1811624984017501,0.17813880923900405,0.26328696305317784
198407,0.17987715800601453,0.18785453603772317,0.24490652052654344
198408,0.10128449449457813,0.11500742007446758,0.14585003634855567
198409,0.1550445662171163,0.1538329061814931,0.12327232379926353
198410,0.16367217965876585,0.14247479797060186,0.13236596079063617
198411,0.14961112794953288,0.13556990574169187,0.19850390931190826
198412,0.11962979949240662,0.118566732035382,0.10375781310721113
198501,0.1155483346536405,0.1263139356467629,0.1299409561146688
198502,0.11862400086307566,0.11842055526549776,0.15766711168792344
198503,0.12737273481472403,0.11441459017601807,0.12593008364506889
198504,0.12340349923811787,0.10786403604281602,0.1026765615136841
198505,0.14346128767711144,0.14327214583319228,0.13386551646703784
198506,0.22419161123719564,0.19729275117439848,0.18703837857057443
198507,0.15029271434116048,0.12202047927314019,0.12504620477104897
198508,0.09726063123033724,0.09763869951302089,0.1002520053370995
198509,0.11238227686159187,0.1115312524403897,0.10815557114652916
198510,0.08514561188009753,0.08564230022281477,0.0968754021040045
198511,0.09347043683008835,0.09586282534684404,0.10371218936858055
198512,0.11423906696236176,0.1070229892231895,0.10336230410378573
198601,0.11005728299577335,0.1132293029813646,0.11271666147736426
198602,0.11779724987778718,0.15317874174356655,0.15127446331745978
198603,0.13200179938741807,0.15511193595723066,0.17629612271936534
198604,0.14254325024815967,0.1249288150556378,0.13928315167060545
198605,0.13606896227780305,0.13420503879420256,0.15240720346010692
198606,0.18640804829607832,0.1880487852115462,0.1397386130882092
198607,0.10782351300947335,0.10232672647469467,0.1293746003090891
198608,0.10171320336796212,0.09812653054585052,0.10300911432293097
198609,0.13162868652617074,0.14660658549443614,0.162008072435938
198610,0.09373818646117857,0.09560591175971932,0.08637550449939005
198611,0.05824935019283532,0.07232190361053874,0.09261967196539862
198612,0.055568243263361815,0.06738416336430217,0.07087407264883205
198701,0.054776304548279274,0.06871076652105557,0.08017653818771796
198702,0.06340409441119997,0.060396745084024664,0.06679957693614534
198703,0.07282554983119106,0.08586045325043176,0.08800978380812738
198704,0.1706178824393148,0.16031847052143586,0.14180972571292982
198705,0.16002242363140012,0.16484124861931457,0.19344407848634215
198706,0.12639033870280306,0.1383364811178457,0.136567885832975
198707,0.052390583752312564,0.0743305841862009,0.07951805076177573
198708,0.08634217804559129,0.11330435387840787,0.11740010670291413
198709,0.10787390912499634,0.1344465781402149,0.14444231661343362
198710,0.2763335028098635,0.3093822454279798,0.2737494900971839
198711,0.09514121039570077,0.09740370119456228,0.10577596572559834
198712,0.1010530526515228,0.14102501382551055,0.1437029891484153
198801,0.129732789816879,0.15104801319858585,0.1358100060178942
198802,0.09573493200324823,0.09238840876053336,0.07223288305964684
198803,0.08088331435829672,0.08993386961643715,0.09435390181781057
198804,0.07407240135235425,0.08615978341768817,0.08782837262264623
198805,0.06566905039886245,0.0662824801023308,0.07049852293154711
198806,0.13609747480097964,0.1472208986672456,0.14372997617174765
198807,0.0646085319943461,0.07712639083689986,0.08887373215552508
198808,0.07398943336001053,0.08618263092115838,0.09533159845997946
198809,0.10161785483338595,0.11090352981881818,0.10506394500641522
198810,0.0804887331155952,0.07862959689231362,0.08056430300825554
198811,0.09827222754956742,0.0733564563282626,0.0695172233739537
198812,0.10000444024209403,0.08330522426931636,0.079280744224947
198901,0.07261176623748318,0.06843079356063701,0.06630831191093765
198902,0.08815591838607574,0.08732600661377839,0.07832165425264619
198903,0.08788277771534965,0.08168326605260234,0.07163303658169574
198904,0.13028934009600862,0.08712344696688255,0.052363130632761545
198905,0.13377846223056059,0.11862136898528548,0.0932759062432019
198906,0.13495768482302573,0.1083007576658243,0.10715272237736852
198907,0.08852444641848106,0.06494460887892717,0.06850308517287707
198908,0.13576978220386685,0.09298966805871023,0.07683903424210574
198909,0.06549299315889183,0.06205581562626753,0.05692345106046134
198910,0.08053144861040548,0.06201561176836332,0.0627228681833179
198911,0.08151469571458701,0.054576862332006475,0.04818312688392898
