Time,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10
197108,0.2956477081218001,0.5180723300955199,0.60541905295573,0.7572514688437799,0.9055356809996402,0.9711580443879697,1.0115471803019798,1.0516081658174503,1.0953612873626204
197109,0.24906383697863976,0.4537495024008802,0.5835778747568501,0.7382324050251006,0.7982806936396498,0.7757083561759401,0.7297103179036499,0.6847362684197202,0.6508479660928099
197110,0.35426725124994984,0.6256770512765497,0.8818871176028003,1.0768360321132704,1.1920542310668205,1.2061970633468002,1.1908008672936097,1.1760512042951898,1.1751412633133205
197111,0.36098550242045935,0.6355522012147299,0.8414683525430293,1.02984036180907,1.2112778142644496,1.25368887347659,1.2288829796408,1.1924814628995097,1.1707419990211
197112,0.5159328653503099,0.80262290743718,0.9920154508200403,1.1680492406395997,1.3711811172324504,1.4915825983338502,1.5510865595453405,1.59196086579776,1.6351202898631305
197201,0.6942867320483295,1.1615774338700096,1.44086499686881,1.6093368367589793,1.7475208887065596,1.8401267181620895,1.8990719361374397,1.9437902609070097,1.9870659266523694
197202,0.5457052669665501,1.0086838331023795,1.28387137485202,1.4488059125334498,1.57980592251843,1.6791531283061598,1.7465604786994096,1.79401865096722,1.8217924973150001
197203,0.6123087170687294,0.8752268361799294,1.00654154232409,1.0918368522512498,1.1503382360544494,1.1773133100308595,1.1807760650548698,1.1738352427167493,1.1606906178337297
197204,0.6174328498157307,1.0535559572631703,1.2276180796588108,1.3205421130162804,1.4318775279745504,1.5347300169316505,1.6079558721534202,1.6658940583927206,1.7101274977734802
197205,0.4437531514268098,0.8693931876206094,1.05717311018123,1.2217350327000593,1.3251817197333198,1.4127252206254193,1.48840114793295,1.5542442755326293,1.6050624018208497
197206,0.38359003352606,0.6426443312022103,0.77332497118483,0.8817091295010604,0.9336601455807703,0.9642927666731298,0.9753146339222001,0.9729479667127805,0.9570716604654699
197207,0.48821904308481034,0.9263658372657897,1.10226351634092,1.1949486238507,1.2589838094647998,1.3194838086549199,1.3711481402654204,1.41350321421596,1.44283727494249
197208,0.3429225998772596,0.6304740984177295,0.78593569384027,0.8674295613108898,0.92659607302721,0.9844420089251997,1.0116771214719096,1.02867974478675,1.0652617807080196
197209,0.27610611529303064,0.43606271847619027,0.5364796400370304,0.5993687360204403,0.67945519913048,0.7633023206035903,0.8417016182679102,0.9124946187360807,0.9720687432973802
197210,0.37738064093249957,0.5713196133828093,0.7033459820185897,0.74866117362882,0.7976881938462199,0.8491749223102101,0.8915445651179699,0.9317549184213298,0.97247079077931
197211,0.32228939941095014,0.5766631017473207,0.6893420547014699,0.7302084873562507,0.7650937134792901,0.8095880159627402,0.8550586781271701,0.90298105761517,0.9500844747684205
197212,0.33282581402619993,0.5084577428790702,0.5703602152209202,0.6058506023254697,0.6461015010323399,0.6792473105663301,0.7022261174911302,0.7316681273880494,0.7712632070347496
197301,0.2199338858745099,0.3133088681235803,0.35429782577759017,0.34141499671245956,0.32294633637337977,0.31668535557906985,0.33251324553291006,0.36490174512544993,0.4066396588544201
197302,0.2903915985460399,0.3522590581446696,0.39376733937831965,0.35835946962335985,0.3305727652870498,0.3051419793312702,0.25625644057539,0.19957315228811012,0.17137356990309982
197303,-0.028795164315460475,-0.11416755081182028,-0.13510004810046983,-0.18741378189776015,-0.20434738982541045,-0.2167412766475305,-0.25586446334938984,-0.3078475211112499,-0.34764742221012046
197304,0.02211839009909955,0.025119159514649603,0.005882843810249838,-0.03289673970928053,-0.020170038632340237,0.004996466888929518,-0.006857266246140803,-0.03251073134295002,-0.0479231812319707
197305,-0.17194696422992006,-0.2951657564400003,-0.3298315153597704,-0.33386805362277006,-0.2838629228015703,-0.21862240854760007,-0.18918577507182022,-0.18198388620668027,-0.1928351396321002
197306,-0.5515969313955793,-0.6546776186757599,-0.73812387244479,-0.7962042619714493,-0.8065200422029895,-0.7936669657028492,-0.7817382840481093,-0.77817110443541,-0.7853680198130997
197307,-0.5770822608999797,-0.7421166623074091,-0.8000073256611593,-0.9137302418892093,-1.0587617842537798,-1.1978592470202392,-1.3000163139100396,-1.3844544256730096,-1.4550295853387691
197308,-0.6357842424327993,-1.00822203250842,-1.1367044557261199,-1.2057935943950993,-1.2495039168277993,-1.2609541031490892,-1.2773350899187692,-1.3153378192910692,-1.3786962119343293
197309,-0.6239969808464902,-0.81689098427477,-0.8296023083927597,-0.8338312084328097,-0.8154516657199595,-0.7773309510183202,-0.7510523556837301,-0.73485891391711,-0.72940202893097
197310,-0.46729994649011974,-0.4904214200152994,-0.4971320828382497,-0.5070642992628098,-0.5145824559594496,-0.5317340681118798,-0.5588497525747798,-0.5780311957000599,-0.5853139054709402
197311,-0.7801482247769496,-0.8657271338933494,-0.8819625455089399,-0.8553864976156396,-0.8207020493940895,-0.8487891194923192,-0.8946120661395698,-0.9141770873876194,-0.9039571125206596
197312,-0.4533770504658001,-0.5383376573186096,-0.5416974025139503,-0.5322515219451995,-0.5308652219640297,-0.54342189759529,-0.5497287915905797,-0.5264951421371098,-0.4726843623770902
197401,-0.35604567538900955,-0.33542707037562014,-0.29955695216265,-0.25414296380709,-0.21138431802549995,-0.20429007246149933,-0.20896791539193948,-0.19251525550054982,-0.15758441844914994
197402,-0.2591400478771204,-0.26569503834890007,-0.2656984041084103,-0.24021758064810061,-0.21891324787136046,-0.22387765778541002,-0.23942997982248038,-0.23366757533797067,-0.20004302135507057
